DESCRIZIONE MATRICE (1°livello),DESCRIZIONE MATRICE (2° livello),Data inizio,Data fine,Comune di prelievo,Provincia,Nuclide,Attività specifica,Unità di misura,Column,Column2,* n.r.: non rilevabile (risultato inferiore alla sensibilità analitica),Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-07T08:40:00Z,2019-10-08T08:40:00Z,VIMERCATE,MB,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-07T08:40:00Z,2019-10-08T08:40:00Z,VIMERCATE,MB,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-05-22T09:40:00Z,2019-05-23T09:40:00Z,LOCATE DI TRIULZI,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-05-22T09:40:00Z,2019-05-23T09:40:00Z,LOCATE DI TRIULZI,MI,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-09-30T09:30:00Z,2019-10-01T09:30:00Z,LOCATE DI TRIULZI,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-09-30T09:30:00Z,2019-10-01T09:30:00Z,LOCATE DI TRIULZI,MI,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-06-11T08:00:00Z,2019-06-11T08:00:00Z,CASTIGLIONE DELLE STIVIERE,MN,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-06-11T08:00:00Z,2019-06-11T08:00:00Z,CASTIGLIONE DELLE STIVIERE,MN,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-28T09:00:00Z,2019-10-29T09:00:00Z,CASTIGLIONE DELLE STIVIERE,MN,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-28T09:00:00Z,2019-10-29T09:00:00Z,CASTIGLIONE DELLE STIVIERE,MN,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
