DESCRIZIONE MATRICE (1°livello),DESCRIZIONE MATRICE (2° livello),Data inizio,Data fine,Comune di prelievo,Provincia,Nuclide,Attività specifica,Unità di misura,Column,Column2,* n.r.: non rilevabile (risultato inferiore alla sensibilità analitica),Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-06-03T08:00:00Z,2019-06-04T08:00:00Z,MORTARA,PV,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-06-03T08:00:00Z,2019-06-04T08:00:00Z,MORTARA,PV,I-131,0.33,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-12-02T09:00:00Z,2019-12-03T09:00:00Z,MORTARA,PV,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-12-02T09:00:00Z,2019-12-03T09:00:00Z,MORTARA,PV,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-03-05T08:00:00Z,2019-03-05T08:00:00Z,MORBEGNO,SO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-03-05T08:00:00Z,2019-03-05T08:00:00Z,MORBEGNO,SO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-09-03T07:00:00Z,2019-09-03T07:00:00Z,MORBEGNO,SO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-09-03T07:00:00Z,2019-09-03T07:00:00Z,MORBEGNO,SO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-05-13T08:00:00Z,2019-05-14T08:00:00Z,CARONNO PERTUSELLA,VA,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-05-13T08:00:00Z,2019-05-14T08:00:00Z,CARONNO PERTUSELLA,VA,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-28T09:00:00Z,2019-10-29T09:00:00Z,CARONNO PERTUSELLA,VA,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DEPURATA,2019-10-28T09:00:00Z,2019-10-29T09:00:00Z,CARONNO PERTUSELLA,VA,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-06-03T07:00:00Z,2019-06-04T07:00:00Z,BERGAMO,BG,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-06-03T07:00:00Z,2019-06-04T07:00:00Z,BERGAMO,BG,I-131,0.105,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-06-04T07:15:00Z,2019-06-04T07:15:00Z,BERGAMO,BG,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-06-04T07:15:00Z,2019-06-04T07:15:00Z,BERGAMO,BG,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-11-26T08:10:00Z,2019-11-26T08:10:00Z,BERGAMO,BG,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-11-26T08:10:00Z,2019-11-26T08:10:00Z,BERGAMO,BG,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-11-26T08:10:00Z,2019-11-26T08:10:00Z,BERGAMO,BG,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-11-26T08:10:00Z,2019-11-26T08:10:00Z,BERGAMO,BG,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-26T08:10:00Z,2019-03-27T08:10:00Z,BRESCIA,BS,CS-137,0.184,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-26T08:10:00Z,2019-03-27T08:10:00Z,BRESCIA,BS,I-131,0.421,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-14T07:30:00Z,2019-10-15T07:30:00Z,BRESCIA,BS,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-14T07:30:00Z,2019-10-15T07:30:00Z,BRESCIA,BS,I-131,0.76,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-25T09:00:00Z,2019-03-26T09:00:00Z,CARIMATE,CO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-25T09:00:00Z,2019-03-26T09:00:00Z,CARIMATE,CO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-25T09:00:00Z,2019-03-26T09:00:00Z,CARIMATE,CO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-25T09:00:00Z,2019-03-26T09:00:00Z,CARIMATE,CO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-25T09:00:00Z,2019-03-26T09:00:00Z,CARIMATE,CO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-25T09:00:00Z,2019-03-26T09:00:00Z,CARIMATE,CO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-11-25T08:45:00Z,2019-11-26T08:45:00Z,CARIMATE,CO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-11-25T08:45:00Z,2019-11-26T08:45:00Z,CARIMATE,CO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-11-25T08:45:00Z,2019-11-26T08:45:00Z,CARIMATE,CO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-11-25T08:45:00Z,2019-11-26T08:45:00Z,CARIMATE,CO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-04-15T07:30:00Z,2019-04-16T07:30:00Z,CREMONA,CR,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-04-15T07:30:00Z,2019-04-16T07:30:00Z,CREMONA,CR,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-09T06:45:00Z,2019-10-10T06:45:00Z,CREMONA,CR,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-09T06:45:00Z,2019-10-10T06:45:00Z,CREMONA,CR,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-05-07T06:30:00Z,2019-05-08T06:30:00Z,LECCO,LC,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-05-07T06:30:00Z,2019-05-08T06:30:00Z,LECCO,LC,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-09-10T08:15:00Z,2019-09-11T08:15:00Z,LECCO,LC,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-09-10T08:15:00Z,2019-09-11T08:15:00Z,LECCO,LC,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-18T08:40:00Z,2019-03-19T08:40:00Z,LODI,LO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-18T08:40:00Z,2019-03-19T08:40:00Z,LODI,LO,I-131,1.5,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-09-16T07:40:00Z,2019-09-17T07:40:00Z,LODI,LO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-09-16T07:40:00Z,2019-09-17T07:40:00Z,LODI,LO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-04-16T08:30:00Z,2019-04-17T08:30:00Z,VIMERCATE,MB,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-04-16T08:30:00Z,2019-04-17T08:30:00Z,VIMERCATE,MB,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-07T08:55:00Z,2019-10-08T08:55:00Z,VIMERCATE,MB,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-07T08:55:00Z,2019-10-08T08:55:00Z,VIMERCATE,MB,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-05-22T09:40:00Z,2019-05-23T09:40:00Z,LOCATE DI TRIULZI,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-05-22T09:40:00Z,2019-05-23T09:40:00Z,LOCATE DI TRIULZI,MI,I-131,1.05,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-09-30T09:30:00Z,2019-10-01T09:30:00Z,LOCATE DI TRIULZI,MI,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-09-30T09:30:00Z,2019-10-01T09:30:00Z,LOCATE DI TRIULZI,MI,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-06-11T08:00:00Z,2019-06-11T08:00:00Z,CASTIGLIONE DELLE STIVIERE,MN,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-06-11T08:00:00Z,2019-06-11T08:00:00Z,CASTIGLIONE DELLE STIVIERE,MN,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-29T09:00:00Z,2019-10-29T09:00:00Z,CASTIGLIONE DELLE STIVIERE,MN,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-29T09:00:00Z,2019-10-29T09:00:00Z,CASTIGLIONE DELLE STIVIERE,MN,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO - industriale,2019-06-03T08:00:00Z,2019-06-04T08:00:00Z,MORTARA,PV,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO - industriale,2019-06-03T08:00:00Z,2019-06-04T08:00:00Z,MORTARA,PV,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-06-03T08:00:00Z,2019-06-04T08:00:00Z,MORTARA,PV,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO - industriale,2019-06-03T08:00:00Z,2019-06-04T08:00:00Z,MORTARA,PV,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO - industriale,2019-06-03T08:00:00Z,2019-06-04T08:00:00Z,MORTARA,PV,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-06-03T08:00:00Z,2019-06-04T08:00:00Z,MORTARA,PV,I-131,2.45,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO - industriale,2019-12-02T09:00:00Z,2019-12-03T09:00:00Z,MORTARA,PV,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO - industriale,2019-12-02T09:00:00Z,2019-12-03T09:00:00Z,MORTARA,PV,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-12-02T09:00:00Z,2019-12-03T09:00:00Z,MORTARA,PV,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO - industriale,2019-12-02T09:00:00Z,2019-12-03T09:00:00Z,MORTARA,PV,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO - industriale,2019-12-02T09:00:00Z,2019-12-03T09:00:00Z,MORTARA,PV,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-12-02T09:00:00Z,2019-12-03T09:00:00Z,MORTARA,PV,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-05T08:00:00Z,2019-03-05T08:00:00Z,MORBEGNO,SO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-03-05T08:00:00Z,2019-03-05T08:00:00Z,MORBEGNO,SO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-09-03T07:00:00Z,2019-09-03T07:00:00Z,MORBEGNO,SO,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-09-03T07:00:00Z,2019-09-03T07:00:00Z,MORBEGNO,SO,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-05-13T08:00:00Z,2019-05-14T08:00:00Z,CARONNO PERTUSELLA,VA,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-05-13T08:00:00Z,2019-05-14T08:00:00Z,CARONNO PERTUSELLA,VA,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-28T09:00:00Z,2019-10-29T09:00:00Z,CARONNO PERTUSELLA,VA,CS-137,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,ACQUA DI SCARICO,2019-10-28T09:00:00Z,2019-10-29T09:00:00Z,CARONNO PERTUSELLA,VA,I-131,n.r.,BQ/L,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,FANGO DEPURATORE,2019-06-04T07:20:00Z,2019-06-04T07:20:00Z,BERGAMO,BG,CS-137,2.17,BQ/KG,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,FANGO DEPURATORE,2019-06-04T07:20:00Z,2019-06-04T07:20:00Z,BERGAMO,BG,I-131,2.54,BQ/KG,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,FANGO DEPURATORE,2019-11-26T08:15:00Z,2019-11-26T08:15:00Z,BERGAMO,BG,CS-137,2.86,BQ/KG,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,FANGO DEPURATORE,2019-11-26T08:15:00Z,2019-11-26T08:15:00Z,BERGAMO,BG,I-131,1.06,BQ/KG,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,FANGO DEPURATORE,2019-03-27T08:30:00Z,2019-03-27T08:30:00Z,BRESCIA,BS,CS-137,0.386,BQ/KG,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,FANGO DEPURATORE,2019-03-27T08:30:00Z,2019-03-27T08:30:00Z,BRESCIA,BS,I-131,427.0,BQ/KG,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,FANGO DEPURATORE,2019-10-15T07:30:00Z,2019-10-15T07:30:00Z,BRESCIA,BS,CS-137,0.85,BQ/KG,,,,,,,,,,,,,,,,
ACQUA D'IMPIANTO DI DEPURAZIONE,FANGO DEPURATORE,2019-10-15T07:30:00Z,2019-10-15T07:30:00Z,BRESCIA,BS,I-131,116.0,BQ/KG,,,,,,,,,,,,,,,,
