,BACINO IDROGRAFICO,LAGO,CORPO IDRICO,PROVINCIA,COMUNE,COORD X,COORD Y,Codice Stazione,Descrizione Profondità,Profondità,DATA CAMPIONAMENTO,PARAMETRO,CAS,UM,VALORE,ParameterIdentificationSystem
107,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Cloruri,16887-00-6,mg-L-Cl,5.6,CAS
108,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Conducibilità elettrica a 20°C,3142-01-6,µS-cm,381.0,WISE
109,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Cromo totale,7440-47-3,µg-L,lt-2,CAS
110,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Durezza (totale),20001,mg-L-CaCO3,190.0,CAS
111,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Fosforo Totale,7723-14-0,µg-L-P,13.0,CAS
112,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Magnesio,7439-95-4,mg-L,12.0,CAS
113,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Mercurio,7439-97-6,µg-L,lt-0.03,CAS
114,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Nichel,7440-02-0,µg-L,lt-2,CAS
115,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Ortofosfato,14265-44-2,µg-L-P,6.0,CAS
116,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Ossigeno % di saturazione,3131-01-9,%-sat.,105.0,WISE
117,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Ossigeno disciolto,7782-44-7,mg-L-O2,11.8,CAS
118,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,pH,12408-02-5,pH,7.9,CAS
119,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Piombo,7439-92-1,µg-L,lt-1,CAS
120,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Potassio,7440-09-7,mg-L,0.8,CAS
121,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Rame,7440-50-8,µg-L,lt-5,CAS
122,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Silicati reattivi,1344-09-8,mg-L-SiO2,lt-0.5,CAS
123,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Sodio,7440-23-5,mg-L,4.1,CAS
124,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Solfati,14808-79-8,mg-L-SO4,16.0,CAS
125,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Temperatura acqua,3121-01-5,°C,10.0,WISE
126,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Trasparenza (disco di Secchi),10062,m,3.7,CAS
127,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-03-18,Zinco,7440-66-6,µg-L,lt-20,CAS
128,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Alcalinità,71-52-3,meq-L,3.531,CAS
129,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Arsenico,7440-38-2,µg-L,lt-1,CAS
130,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Azoto ammoniacale,14798-03-9,mg-L-N,0.07,CAS
131,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Azoto nitrico,14797-55-8,mg-L-N,0.6,CAS
132,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Azoto nitroso,14797-65-0,mg-L-N,0.007,CAS
133,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Azoto Totale,17778-88-0,mg-L-N,1.0,CAS
134,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Cadmio,7440-43-9,µg-L,lt-0.04,CAS
135,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Calcio,7440-70-2,mg-L,57.0,CAS
136,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Cloruri,16887-00-6,mg-L-Cl,5.6,CAS
137,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Conducibilità elettrica a 20°C,3142-01-6,µS-cm,375.0,WISE
138,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Cromo totale,7440-47-3,µg-L,lt-2,CAS
139,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Durezza (totale),20001,mg-L-CaCO3,191.0,CAS
140,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Fluoruri,16984-48-8,µg-L,lt-500,CAS
141,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Fosforo Totale,7723-14-0,µg-L-P,11.0,CAS
142,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Magnesio,7439-95-4,mg-L,12.0,CAS
143,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Mercurio,7439-97-6,µg-L,lt-0.03,CAS
144,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Nichel,7440-02-0,µg-L,lt-2,CAS
145,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Ortofosfato,14265-44-2,µg-L-P,4.0,CAS
146,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Ossigeno % di saturazione,3131-01-9,%-sat.,102.0,WISE
147,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Ossigeno disciolto,7782-44-7,mg-L-O2,10.8,CAS
148,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,pH,12408-02-5,pH,8.2,CAS
149,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Piombo,7439-92-1,µg-L,lt-1,CAS
150,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Potassio,7440-09-7,mg-L,0.8,CAS
151,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Rame,7440-50-8,µg-L,lt-5,CAS
152,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Silicati reattivi,1344-09-8,mg-L-SiO2,1.0,CAS
153,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Sodio,7440-23-5,mg-L,4.2,CAS
154,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Solfati,14808-79-8,mg-L-SO4,15.0,CAS
155,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Temperatura acqua,3121-01-5,°C,12.5,WISE
156,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Trasparenza (disco di Secchi),10062,m,7.0,CAS
157,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-04-15,Zinco,7440-66-6,µg-L,lt-20,CAS
158,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Alcalinità,71-52-3,meq-L,3.543,CAS
159,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Arsenico,7440-38-2,µg-L,lt-1,CAS
160,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Azoto ammoniacale,14798-03-9,mg-L-N,0.11,CAS
161,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Azoto nitrico,14797-55-8,mg-L-N,0.5,CAS
162,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Azoto nitroso,14797-65-0,mg-L-N,0.008,CAS
163,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Azoto Totale,17778-88-0,mg-L-N,1.0,CAS
164,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Cadmio,7440-43-9,µg-L,lt-0.04,CAS
165,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Calcio,7440-70-2,mg-L,58.0,CAS
166,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Cloruri,16887-00-6,mg-L-Cl,5.5,CAS
167,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Conducibilità elettrica a 20°C,3142-01-6,µS-cm,384.0,WISE
168,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Cromo totale,7440-47-3,µg-L,lt-2,CAS
169,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Durezza (totale),20001,mg-L-CaCO3,195.0,CAS
170,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Fluoruri,16984-48-8,µg-L,lt-500,CAS
171,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Fosforo Totale,7723-14-0,µg-L-P,12.0,CAS
172,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Magnesio,7439-95-4,mg-L,12.0,CAS
173,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Mercurio,7439-97-6,µg-L,lt-0.03,CAS
174,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Nichel,7440-02-0,µg-L,lt-2,CAS
175,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Ortofosfato,14265-44-2,µg-L-P,lt-4,CAS
176,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Ossigeno % di saturazione,3131-01-9,%-sat.,91.0,WISE
177,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Ossigeno disciolto,7782-44-7,mg-L-O2,8.7,CAS
178,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,pH,12408-02-5,pH,nd,CAS
179,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Piombo,7439-92-1,µg-L,lt-1,CAS
180,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Potassio,7440-09-7,mg-L,0.8,CAS
181,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Rame,7440-50-8,µg-L,lt-5,CAS
182,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Silicati reattivi,1344-09-8,mg-L-SiO2,2.7,CAS
183,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Sodio,7440-23-5,mg-L,4.3,CAS
184,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Solfati,14808-79-8,mg-L-SO4,15.0,CAS
185,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Temperatura acqua,3121-01-5,°C,17.1,WISE
186,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Trasparenza (disco di Secchi),10062,m,7.2,CAS
187,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-05-22,Zinco,7440-66-6,µg-L,lt-20,CAS
188,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Alcalinità,71-52-3,meq-L,2.889,CAS
189,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Arsenico,7440-38-2,µg-L,lt-1,CAS
190,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Azoto ammoniacale,14798-03-9,mg-L-N,lt-0.015,CAS
191,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Azoto nitrico,14797-55-8,mg-L-N,lt-0.25,CAS
192,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Azoto nitroso,14797-65-0,mg-L-N,lt-0.003,CAS
193,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Azoto Totale,17778-88-0,mg-L-N,0.6,CAS
194,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Cadmio,7440-43-9,µg-L,lt-0.04,CAS
195,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Calcio,7440-70-2,mg-L,43.0,CAS
196,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Cloruri,16887-00-6,mg-L-Cl,5.5,CAS
197,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Conducibilità elettrica a 20°C,3142-01-6,µS-cm,292.0,WISE
198,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Cromo totale,7440-47-3,µg-L,lt-2,CAS
199,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Durezza (totale),20001,mg-L-CaCO3,156.0,CAS
200,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Fluoruri,16984-48-8,µg-L,lt-500,CAS
201,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Fosforo Totale,7723-14-0,µg-L-P,13.0,CAS
202,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Magnesio,7439-95-4,mg-L,12.0,CAS
203,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Mercurio,7439-97-6,µg-L,lt-0.03,CAS
204,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Nichel,7440-02-0,µg-L,lt-2,CAS
205,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Ortofosfato,14265-44-2,µg-L-P,lt-4,CAS
206,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Ossigeno % di saturazione,3131-01-9,%-sat.,145.0,WISE
207,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Ossigeno disciolto,7782-44-7,mg-L-O2,11.4,CAS
208,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,pH,12408-02-5,pH,8.4,CAS
209,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Piombo,7439-92-1,µg-L,lt-1,CAS
210,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Potassio,7440-09-7,mg-L,0.8,CAS
211,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Rame,7440-50-8,µg-L,lt-5,CAS
212,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Silicati reattivi,1344-09-8,mg-L-SiO2,7.3,CAS
213,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Sodio,7440-23-5,mg-L,4.4,CAS
214,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Solfati,14808-79-8,mg-L-SO4,13.0,CAS
215,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Temperatura acqua,3121-01-5,°C,27.8,WISE
216,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Trasparenza (disco di Secchi),10062,m,2.4,CAS
217,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-07-22,Zinco,7440-66-6,µg-L,lt-20,CAS
218,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-08-26,Alcalinità,71-52-3,meq-L,2.765,CAS
219,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-08-26,Arsenico,7440-38-2,µg-L,lt-1,CAS
220,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-08-26,Azoto ammoniacale,14798-03-9,mg-L-N,0.07,CAS
221,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-08-26,Azoto nitrico,14797-55-8,mg-L-N,lt-0.25,CAS
222,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-08-26,Azoto nitroso,14797-65-0,mg-L-N,lt-0.003,CAS
223,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-08-26,Azoto Totale,17778-88-0,mg-L-N,1.0,CAS
224,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,Endine-Gaiano,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-superficie,0.5,2019-08-26,Cadmio,7440-43-9,µg-L,lt-0.04,CAS
