,BACINO IDROGRAFICO,LAGO,CORPO IDRICO,PROVINCIA,COMUNE,COORD X,COORD Y,Codice Stazione,Descrizione Profondità,Profondità,DATA CAMPIONAMENTO,PARAMETRO,CAS,UM,VALORE,ParameterIdentificationSystem
21,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Conducibilità elettrica a 20°C,3142-01-6,µS-cm,294.0,WISE
22,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Cromo totale,7440-47-3,µg-L,lt-2,CAS
23,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Durezza (totale),20001,mg-L-CaCO3,161.0,CAS
24,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Fluoruri,16984-48-8,µg-L,lt-500,CAS
25,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Fosforo Totale,7723-14-0,µg-L-P,21.0,CAS
26,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Magnesio,7439-95-4,mg-L,12.0,CAS
27,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Mercurio,7439-97-6,µg-L,lt-0.03,CAS
28,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Nichel,7440-02-0,µg-L,lt-2,CAS
29,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Ortofosfato,14265-44-2,µg-L-P,lt-4,CAS
30,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Ossigeno % di saturazione,3131-01-9,%-sat.,144.0,WISE
31,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Ossigeno disciolto,7782-44-7,mg-L-O2,11.5,CAS
32,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,pH,12408-02-5,pH,8.3,CAS
33,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Piombo,7439-92-1,µg-L,lt-1,CAS
34,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Potassio,7440-09-7,mg-L,1.0,CAS
35,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Rame,7440-50-8,µg-L,lt-5,CAS
36,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Silicati reattivi,1344-09-8,mg-L-SiO2,7.6,CAS
37,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Sodio,7440-23-5,mg-L,4.6,CAS
38,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Solfati,14808-79-8,mg-L-SO4,13.0,CAS
39,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Temperatura acqua,3121-01-5,°C,26.8,WISE
40,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,3.5,2019-07-22,Zinco,7440-66-6,µg-L,lt-20,CAS
41,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Alcalinità,71-52-3,meq-L,2.901,CAS
42,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Arsenico,7440-38-2,µg-L,lt-1,CAS
43,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Azoto ammoniacale,14798-03-9,mg-L-N,0.13,CAS
44,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Azoto nitrico,14797-55-8,mg-L-N,lt-0.25,CAS
45,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Azoto nitroso,14797-65-0,mg-L-N,lt-0.003,CAS
46,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Azoto Totale,17778-88-0,mg-L-N,0.8,CAS
47,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Cadmio,7440-43-9,µg-L,lt-0.04,CAS
48,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Calcio,7440-70-2,mg-L,41.0,CAS
49,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Cloruri,16887-00-6,mg-L-Cl,5.7,CAS
50,Oglio,ENDINE,IT03POOG3CE2LN1LO,BG,ENDINE-GAIANO,573578,5070552,POOG3CE2LN1lo1,Lago-di-Endine-centro-metalimnio,5.0,2019-08-26,Conducibilità elettrica a 20°C,3142-01-6,µS-cm,282.0,WISE
