"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"DATO:
DATI ANALITICI CORPI IDRICI FLUVIALI","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","CORPO IDRICO","PROVINCIA","COMUNE","COORD X","COORD Y","Codice Stazione","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","6/6/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","8/13/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,006"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","10/11/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ADDA PRELACUALE","Adda (Fiume)","IT03N0080017LO","CO","Gera Lario","531884","5110769","N0080017lo1","12/5/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,003"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","3/15/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,006"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0059"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","6/5/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0026"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/12/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0022"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"OLONA-LAMBRO MERIDIONALE","Antiga (Torrente)","IT03N00804400201101LO","CO","Limido Comasco","497785","5059626","N00804400201101lo1","11/26/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
