"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"DATO:
LIMeco","FONTE DATI: 
ARPA Lombardia","ANNO DI RIFERIMENTO:
2019","","NOTA:                                           Valutazione annuale provvisoria","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"BACINO IDROGRAFICO","CORSO D'ACQUA","PROVINCIA","COMUNE","LOCALIZZAZIONE","","TIPO DI MONITORAGGIO","LIMeco",""
"ADDA SUBLACUALE","Curone (Torrente)","LC","Montevecchia","528828","5062689","sorveglianza","0.695","ELEVATO"
"ADDA SUBLACUALE","Curone (Torrente)","LC","Osnago","528802","5059179","sorveglianza","0.680","ELEVATO"
"ADDA SUBLACUALE","Mozzanica (Roggia)","LO","Boffalora d'Adda","538066","5023527","operativo","0.496","SUFFICIENTE"
"ADDA SUBLACUALE","Adda (Collettore)","LO","Castelnuovo Bocca d'Adda","566289","4998165","operativo","0.500","BUONO"
"ADDA SUBLACUALE","Tormo (Roggia)","LO","Crespiatica","544045","5021064","operativo","0.344","SUFFICIENTE"
"ADDA SUBLACUALE","Adda (Fiume)","LO","Montanaso Lombardo","538139","5020770","operativo","0.594","BUONO"
"ADDA SUBLACUALE","Muzza (Colatore)","LO","San Martino in Strada","542458","5012398","operativo","0.492","SUFFICIENTE"
"ADDA SUBLACUALE","Adda (Fiume)","MI","Trezzo sull'Adda","541329","5049984","operativo","0.844","ELEVATO"
"ADDA SUBLACUALE","La Molgora (Torrente)","MI","Truccazzano","534673","5035065","operativo","0.203","SCARSO"
"ADDA SUBLACUALE","La Molgora (Torrente)","MB","Carnate","529462","5055749","sorveglianza","0.227","SCARSO"
"ADDA SUBLACUALE","Molgoretta (Torrente)","MB","Usmate Velate","528532","5055656","sorveglianza","0.289","SCARSO"
"AGOGNA","Agogna (Torrente)","PV","Mezzana Bigli","490322","4990128","operativo","0.552","BUONO"
"AGOGNA","Erbognone (Torrente)","PV","Ottobiano","486751","4999581","operativo","0.341","SUFFICIENTE"
"BREMBO","Lesina (Torrente)","BG","Barzana","544483","5065010","operativo","0.422","SUFFICIENTE"
"BREMBO","Lesina (Torrente)","BG","Bonate Sopra","543803","5058360","operativo","0.219","SCARSO"
