"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"DATO:
DATI ANALITICI ACQUE SOTTERRANEE","","FONTE DATI:
ARPA Lombardia","ANNO DI RIFERIMENTO:
2018","","","Sostanze Perfluoroalchiliche 
– PFAS – ","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"GWB","PROVINCIA","COMUNE","CODICE PP","COORD X","COORD Y","DATA CAMPIONAMENTO","SOSTANZA","CAS","UM","CONCENTRAZIONE"
"GWB ISI MPTM","BS","Chiari","PO0170520UC573","571268","5042727","11/19/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISI MPTM","BS","Chiari","PO0170520UC573","571268","5042727","11/19/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISI MPTM","BS","Chiari","PO0170520UC573","571268","5042727","11/19/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISI MPTM","BS","Chiari","PO0170520UC573","571268","5042727","11/19/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISI MPTM","BS","Chiari","PO0170520UC573","571268","5042727","11/19/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","4/11/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","9/4/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","BS","Comezzano-Cizzago","PO0170600UC013","574582","5036376","12/13/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,001"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB FTR","BS","Concesio","PO017061NU0001","593982","5050730","3/28/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS MPOM","BS","GAMBARA","PO017073NUP001","601119","5012346","3/26/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0007"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"ACQUIFERO LOCALE","BS","Lonato","PO0170920U0047","621022","5031057","4/10/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,008"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,02"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","3/27/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,014"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0011"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","7/19/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","0,007"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","0,011"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","0,009"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,001"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APOM","BS","Montichiari","PO017113NRD106","605200","5032183","10/4/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0012"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","5/7/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0012"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","7/30/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","0,0009"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB ISS APOM","BS","Montirone","PO0171140UC023","596315","5033160","11/21/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFDA (Perfluoro Decanoic Acid)","335-76-2","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFDoA (Perfluoro Dodecanoic Acid)","307-55-1","µg/l","<0,01"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFHpA (Perfluoro Heptanoic Acid)","375-85-9","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFHxA (Perfluoro Hexanoic Acid)","307-24-4","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFHxS (Perfluoro Hexane Sulfonate)","355-46-4","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFNA (Perfluoro Nonanoic Acid)","375-95-1","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFOA (Perfluoro Octanoic Acid)","335-67-1","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFOS (Perfluoro Octane Sulfonate)","1763-23-1","µg/l","<0,0002"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFPeA (Perfluoro Pentanoic Acid)","2706-90-3","µg/l","<0,005"
"GWB FCA","BS","Pisogne","PO0171430RC548","587421","5075086","5/30/2018","PFUdA (Perfluoro Undecanoic Acid)","2058-94-8","µg/l","<0,01"
"GWB ISS APOM","BS","Pontoglio","PO0171500UC557","566999","5046842","3/27/2018","PFBA (Perfluoro Butanoic Acid)","375-22-4","µg/l","<0,005"
"GWB ISS APOM","BS","Pontoglio","PO0171500UC557","566999","5046842","3/27/2018","PFBS (Perfluoro Butane Sulfonate)","375-73-5","µg/l","<0,005"
