PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
BRESCIA,ERBUSCO,BS069.0012,ditta Edil Plebani,LOCALITA' ZOCCO,n.d.,9.95925855,45.5964874,POINT (9.95925855 45.5964874),bassa
MANTOVA,CASTIGLIONE DELLE STIVIERE,MN017.0008,MONTE CORNA - BASE USAF DI AVIANO,LOCALITA' MONTE CORNA,n.d.,10.4913444,45.36072816,POINT (10.4913444 45.36072816),alta
MILANO,INVERUNO,MI113.0001,"EX ACI, PA.RO.GRA S.P.A.",VIA MAGENTA,n.d.,8.85208326,45.51356548,POINT (8.85208326 45.51356548),alta
MILANO,MILANO,MI146.0029,Area ex COGECO,"VIALE CASSALA, 16",n.d.,9.16235454,45.4449238,POINT (9.16235454 45.4449238),alta
MILANO,MILANO,MI146.0272,AREA DI LARGO ISARCO,"LARGO ISARCO, 2",aree industriali dismesse,9.205462,45.44434914,POINT (9.205462 45.44434914),alta
MILANO,MILANO,MI146.1077,EDIL CERTOSA,"VIALE CERTOSA, 308",n.d.,9.12279176,45.50326742,POINT (9.12279176 45.50326742),alta
MILANO,MILANO,MI146.3318,IMMOBILIARE CRISTALLO,"VIA LORENTEGGIO, 246",n.d.,9.12255535,45.44557095,POINT (9.12255535 45.44557095),alta
MILANO,PERO,MI170.0048,Cava Bossi,N.D.,n.d.,9.07702765,45.50685371,POINT (9.07702765 45.50685371),bassa
PAVIA,GARLASCO,PV069.0008,SOCOTHERM,"VIA SCALINA, 55",n.d.,8.90764591,45.19639746,POINT (8.90764591 45.19639746),alta
PAVIA,MORTARA,PV102.0023,BOMA AUTOTRASPORTI SRL,S.P.494,n.d.,8.7199521,45.2492437,POINT (8.7199521 45.2492437),alta
VARESE,TRADATE,VA127.0017,AUGUSTA,"VIA ISONZO, 33",n.d.,8.90596389,45.70744573,POINT (8.90596389 45.70744573),alta
MONZA E DELLA BRIANZA,LENTATE SUL SEVESO,MI119.0001,AREA EX TINTORIA F. BONECCHI,VIALE ITALIA (LOC.CAMNAGO) 9,aree industriali dismesse,9.13084884,45.66937865,POINT (9.13084884 45.66937865),alta
MILANO,CANEGRATE,MI046.0004,Forgiatura San Giorgio,"VIA VARESE, 10",aree industriali in attività,8.9230015,45.57185537,POINT (8.9230015 45.57185537),media
MILANO,MILANO,MI146.0021,AREA EX INNSE/INNOCENTI,"VIA RAFFAELE RUBATTINO, 98",aree industriali dismesse,9.24696064,45.47633813,POINT (9.24696064 45.47633813),alta
BERGAMO,DALMINE,BG091.0006,Ex P.V. Shell 11117,VIA DELLE VALLI,impianti di stoccaggio o adduzione carburanti,9.61452633,45.6567366,POINT (9.61452633 45.6567366),alta
MONZA E DELLA BRIANZA,MONZA,MI149.0042,AREA SPALLANZANI/GUERRAZZI-OBIETTIVI RESIDENZIALE,VIA SPALLANZANI/GUERRAZZI 13,aree industriali dismesse,9.2631722,45.56905005,POINT (9.2631722 45.56905005),alta
MILANO,MILANO,MI146.2435,PII VIALE RIMEMBRANZE DI LAMBRATE 1-3,"VIALE DELLE RIMEMBRANZE DI LAMBRATE, 1-3",serbatoi carburante per riscaldamento,9.23886547,45.48216673,POINT (9.23886547 45.48216673),alta
MILANO,MILANO,MI146.4164,AREA VIA GIOVENALE N. 15 / VIA COL MOSCHIN N. 14-16,"VIA GIOVENALE, 15",aree industriali dismesse,9.18524001,45.4496021,POINT (9.18524001 45.4496021),alta
MILANO,MILANO,MI146.0373,AREA EX DUCOIL EX CHEMIBER,"VIA ARCIVESCOVO CALABIANA, 10",impianti di stoccaggio rifiuti,9.20896217,45.44330282,POINT (9.20896217 45.44330282),alta
MILANO,MILANO,MI146.3886,IMMOBILE RESIDENZIALE,"ALZAIA NAVIGLIO GRANDE, 156",aree industriali dismesse,9.14983322,45.44663074,POINT (9.14983322 45.44663074),alta
MILANO,MILANO,MI146.3266,PV CARBURANTI BEYFIN,"VIA GIUSEPPE RIPAMONTI, 483",impianti di stoccaggio o adduzione carburanti,9.206212,45.4140652,POINT (9.206212 45.4140652),alta
VARESE,CARONNO PERTUSELLA,VA034.0001,RAM SRL - AREA EX PROCHIM,"VIA LURA, 236",aree industriali in attività,9.03644511,45.5930085,POINT (9.03644511 45.5930085),alta
MILANO,LACCHIARELLA,MI115.0002,OMAR - AREA INDUSTRIALE DISMESSA PETROLDRAGON,"VIA LIGURIA, 5/7",impianti di stoccaggio rifiuti,9.15759075,45.31805198,POINT (9.15759075 45.31805198),bassa
MILANO,SAN DONATO MILANESE,MI192.0010,Area Ex Edilmat,VIA TICINO,n.d.,9.26779811,45.4091935,POINT (9.26779811 45.4091935),alta
MILANO,MILANO,MI146.2505,AREA ARENGARIO,"VIA GUGLIELMO MARCONI, 1",altri siti non meglio specificati,9.18998585,45.46347633,POINT (9.18998585 45.46347633),alta
MILANO,NOVATE MILANESE,MI157.0014,Area Dismessa Via Cadorna,VIA LUIGI CADORNA,n.d.,9.1335046,45.53343253,POINT (9.1335046 45.53343253),alta
MONZA E DELLA BRIANZA,AGRATE BRIANZA,MI003.0005,UQUIFA SPA,"VIA DELLE INDUSTRIE, 84",aree industriali dismesse,9.34224826,45.56305556,POINT (9.34224826 45.56305556),alta
MILANO,MILANO,MI146.2770,AREA DI VIA GASTONE DA FOIX,VIA GASTONE DA FOIX/ATTENDOLO MUZIO SFORZA,n.d.,9.20266845,45.42685369,POINT (9.20266845 45.42685369),alta
MILANO,BUSTO GAROLFO,MI041.0003,"""AREA EX RONDANINI CONSORZIO REGIONALE NOVA DOMUS S.C.R.L.""","VIA CURIEL,VIA MONTENEVOSO,VIA TAGLIAMENTO",aree industriali dismesse,8.88180665,45.54160553,POINT (8.88180665 45.54160553),bassa
VARESE,VARESE,VA133.0076,"AREA proprietà privata, abbandono rifiuti","VIA MONTE GENEROSO, 98",altri siti non meglio specificati,8.85858299,45.79919275,POINT (8.85858299 45.79919275),alta
MILANO,MILANO,MI146.0335,AREA EX P.V. ESSO,PIAZZALE FRANCESCO BACONE,impianti di stoccaggio o adduzione carburanti,9.21521443,45.47994811,POINT (9.21521443 45.47994811),alta
MILANO,MILANO,MI146.3090,AREA VIA BERRA,"VIA DOMENICO BERRA, 8",aree industriali dismesse,9.24853679,45.50892463,POINT (9.24853679 45.50892463),alta
COMO,ORSENIGO,CO170.0001,EX VOSACEC,VIA COMO-BARAGIOLA,aree industriali in attività,9.18127427,45.77805958,POINT (9.18127427 45.77805958),alta
MILANO,MILANO,MI146.0022,EX AUSCHEM,"VIA GIUSEPPE DE NOTARIS, 50-51",aree industriali dismesse,9.24289265,45.51140652,POINT (9.24289265 45.51140652),alta
MILANO,MILANO,MI146.2600,PII GARIBALDI REPUBBLICA U1 RESIDENZIALE - LOTTO 3,VIA MELCHIORRE GIOIA,aree industriali dismesse,9.19117838,45.48118236,POINT (9.19117838 45.48118236),alta
BERGAMO,ZANICA,BG245.0003,Insediamento dismesso ex deposito prodotti petroliferi SARPP,S.S.CREMASCA,aree industriali dismesse,9.7042914,45.63842203,POINT (9.7042914 45.63842203),bassa
MILANO,RHO,MI182.0032,Autodemolizione Pontone s.n.c.,"VIA LAINATE, 134",aree industriali in attività,9.03079122,45.54872881,POINT (9.03079122 45.54872881),alta
MILANO,MILANO,MI146.1160,AREA EX NUOVA LINEA S.R.L.,"VIA CASORETTO, 35/A",aree industriali dismesse,9.2303016,45.48910842,POINT (9.2303016 45.48910842),alta
MILANO,MILANO,MI146.1069,Area di Via Don Minzoni 7 Il Frontalino,"VIA DON GIOVANNI MINZONI, 7",aree industriali in attività,9.16915003,45.50491476,POINT (9.16915003 45.50491476),alta
PAVIA,MORTARA,PV102.0001,DELTA TRASPORTI SRL (sversamento accidentale nel tratto Borgolavezzaro - Mortara,"VIA GORIZIA, 6",rilasci accidentali o dolosi di sostanze,8.74253695,45.25598902,POINT (8.74253695 45.25598902),alta
MILANO,CORNAREDO,MI087.0019,"MANULI TAPES SPA, KEMICA SPA","VIA R. MERENDI, 37",n.d.,9.03252145,45.484781,POINT (9.03252145 45.484781),alta
PAVIA,VIGEVANO,PV177.0023,IDEA S.R.L. - EX ERCOLE,"STRADA CATTABREGA, 199",aree industriali dismesse,8.8444956,45.28254943,POINT (8.8444956 45.28254943),alta
BERGAMO,ROMANO DI LOMBARDIA,BG183.0002,AREA VTR DI CILISTO SNC,"VIA PATRIOTI ROMANESI, 32",operazioni di recupero rifiuti,9.75552065,45.51585123,POINT (9.75552065 45.51585123),alta
PAVIA,VIGEVANO,PV177.0010,MIRABELLI (deposito materiali),"VIA VALLERE, 73",smaltimenti non autorizzati - abbandono rifiuti,8.83063297,45.31605182,POINT (8.83063297 45.31605182),alta
MONZA E DELLA BRIANZA,BRUGHERIO,MI034.0010,Area Via Cazzaniga,"VIA PAOLO CAZZANIGA, 41",aree industriali dismesse,9.30361305,45.54662567,POINT (9.30361305 45.54662567),alta
MONZA E DELLA BRIANZA,CESANO MADERNO,MI075.0008,Scuola Media S. D'Acquisto,"VIA ROBERTO COZZI, 7",rilasci accidentali o dolosi di sostanze,9.14755215,45.62509695,POINT (9.14755215 45.62509695),alta
MILANO,MILANO,MI146.3021,CONCONI 7 -AREA C,"VIA LUIGI CONCONI, 7",aree industriali dismesse,9.15933654,45.46819153,POINT (9.15933654 45.46819153),bassa
MILANO,VIMODRONE,MI242.0016,AREA PROPRIETA' T4 ELETTRONICA SPA,"VIA PADANA SUPERIORE, 331",aree industriali dismesse,9.27237138,45.51219663,POINT (9.27237138 45.51219663),alta
MILANO,MILANO,MI146.4077,AREA ORLANDI,"VIA ORTICA, 10",altri siti non meglio specificati,9.2434443,45.4709801,POINT (9.2434443 45.4709801),alta
MONZA E DELLA BRIANZA,GIUSSANO,MB024.0005,STRUTTURE DEMOLITE PER IL PIANO DI TRASFORMAZIONE URBANISTICA (TR7),"PIAZZA DELLA REPUBBLICA, 1",altri siti non meglio specificati,9.2078496,45.69734525,POINT (9.2078496 45.69734525),alta
MILANO,PERO,MI170.0008,DEPOSITO ACLAM ESSO ORA IPACLAM,"VIA CESARE BATTISTI, 9",aree industriali dismesse,9.0713945,45.51311884,POINT (9.0713945 45.51311884),alta
MILANO,TREZZANO SUL NAVIGLIO,MI220.0011,P.V. Q8 1322,"VIALE LEONARDO DA VINCI, 213",impianti di stoccaggio o adduzione carburanti,9.05178761,45.41834004,POINT (9.05178761 45.41834004),alta
PAVIA,CARBONARA AL TICINO,PV030.0002,SVERSAMENTO OLIO ISOLANTE DA TRASFORMATORE ENEL,FRAZIONE CANARAZZO,rilasci accidentali o dolosi di sostanze,9.08521616,45.19172615,POINT (9.08521616 45.19172615),alta
LODI,COMAZZO,LO020.0003,Area dismessa ex C.P.I. Three Stars,CASCINA FRATI,aree industriali dismesse,9.4521899,45.43957225,POINT (9.4521899 45.43957225),bassa
MILANO,MILANO,MI146.3703,EX FINA LUBE,VIA PALIZZI,n.d.,9.13895726,45.50274153,POINT (9.13895726 45.50274153),alta
MILANO,MILANO,MI146.0759,DITTA CANI DEMOLIZIONI AUTO,"VIA DELLA CHIESA ROSSA, 241",n.d.,9.16464775,45.4174083,POINT (9.16464775 45.4174083),alta
COMO,LAGLIO,CO119.0001,EX CANTIERI NAUTICI,VIA NUOVA REGINA,n.d.,9.13893759,45.89704145,POINT (9.13893759 45.89704145),alta
MILANO,OPERA,MI159.0009,AREA EX CISAM,"VIA ABRUZZI, 2",aree industriali dismesse,9.20954495,45.38155746,POINT (9.20954495 45.38155746),bassa
VARESE,BREBBIA,VA017.0001,P.V. API 40975,"VIA ROMA, 61",impianti di stoccaggio o adduzione carburanti,8.64285444,45.82504119,POINT (8.64285444 45.82504119),alta
MILANO,MILANO,MI146.1823,Residenza Correnti S.r.l.,"VIA VINCENZO TOFFETTI, 11",aree industriali dismesse,9.23522985,45.43622755,POINT (9.23522985 45.43622755),alta
MILANO,LEGNANO,MI118.0093,Area ex Liolà Print,VIA MONTE CASSINO,aree industriali dismesse,8.90202579,45.59134498,POINT (8.90202579 45.59134498),alta
MILANO,MILANO,MI146.0057,"EX ITALTEL, IL SOLE 24 ORE","PIAZZALE FRATELLI ZAVATTARI, 12",aree industriali dismesse,9.14348578,45.47614636,POINT (9.14348578 45.47614636),alta
COMO,COMO,CO075.0068,CHIBRO SPA,"VIA ROSCIO, 19",n.d.,9.04838635,45.82381189,POINT (9.04838635 45.82381189),alta
MILANO,BUSTO GAROLFO,MI041.0002,VASCHE DI SPAGLIAMENTO DELLE ACQUE NERE,N.D.,aree di spagliamento reflui fognari,8.88180665,45.54160553,POINT (8.88180665 45.54160553),bassa
MILANO,MILANO,MI146.0354,"EX SAI, PRADA INDUSTRIAL SPA","VIALE ORTLES, 36",aree industriali dismesse,9.20576901,45.43972834,POINT (9.20576901 45.43972834),alta
BRESCIA,OSPITALETTO,BS127.0006,"Tratta AV/AC MI-VR, lotto funzionale Treviglio -Brescia - sito OS04-CT101. SIR",TRATTA TRA KM 7+800 E 8+530,discariche abusive o incontrollate,10.07766575,45.55175032,POINT (10.07766575 45.55175032),bassa
VARESE,CARONNO PERTUSELLA,VA034.0035,AREA VIA BAINSIZZA,"VIA BAINSIZZA, 109",aree industriali dismesse,9.05116649,45.59158792,POINT (9.05116649 45.59158792),alta
MILANO,SAN GIULIANO MILANESE,MI195.0011,CASCINA SELMO - LOTTO A,LOCALITA' VIBOLDONE,aree industriali dismesse,9.2780372,45.3838531,POINT (9.2780372 45.3838531),bassa
MILANO,ROBECCHETTO CON INDUNO,MI183.0006,Area ex Rohm and Haas,VIA 3 GIUGNO/L.DA VINCI,aree industriali dismesse,8.76674728,45.53130272,POINT (8.76674728 45.53130272),alta
MILANO,MILANO,MI146.2407,Area di Via Montegrappa,"VIALE MONTE GRAPPA, 12",altri siti non meglio specificati,9.19028429,45.48074011,POINT (9.19028429 45.48074011),alta
MANTOVA,MANTOVA,MN030.0006,PARCHEGGIO OSPEDALE CARLO POMA - abbandono rifiuti,"VIALE PIETRO ALBERTONI, 1",smaltimenti non autorizzati - abbandono rifiuti,10.7730324,45.14899184,POINT (10.7730324 45.14899184),alta
MILANO,ROZZANO,MI189.0003,P.V. ESSO ITALIANA Srl,"VIALE LOMBARDIA, 38",impianti di stoccaggio o adduzione carburanti,9.1514541,45.3851963,POINT (9.1514541 45.3851963),alta
VARESE,FAGNANO OLONA,VA067.0006,SOCIETA' TIRO A VOLO - LOC. PASCHEI,"VIA POLIGONO, 6",altri siti non meglio specificati,8.88052268,45.67327551,POINT (8.88052268 45.67327551),alta
VARESE,BUSTO ARSIZIO,VA026.0038,Area Industriale Ex Ratti,"VIA PALESTRO, 11",aree industriali dismesse,8.84291128,45.61187451,POINT (8.84291128 45.61187451),alta
VARESE,CASTELLANZA,VA042.0031,EDIFICIO ARTIGIANALE EX TORNERIA MECCANICA,"VIA GIUSEPPE BRAMBILLA, 20",altri siti non meglio specificati,8.89400334,45.61163745,POINT (8.89400334 45.61163745),alta
MILANO,MILANO,MI146.0634,RIPAMONTI 99 SRL (area ex IdB Holding),"VIA GIUSEPPE RIPAMONTI, 99",aree industriali dismesse,9.19966035,45.44079359,POINT (9.19966035 45.44079359),alta
MILANO,MILANO,MI146.0186,"E VIA P. G. BECCARO, ZONA BICOCCA, PARCHEGGIO P7",VIA ETTORE FIERAMOSCA,aree industriali dismesse,9.21424181,45.5136998,POINT (9.21424181 45.5136998),alta
MILANO,SETTIMO MILANESE,MI211.0023,P.V. ESSO 2127 - 106125,"VIA PANZERI, 12",impianti di stoccaggio o adduzione carburanti,9.0517993,45.48924179,POINT (9.0517993 45.48924179),alta
LODI,CASALETTO LODIGIANO,LO008.0002,CASCINA MONCUCCA,FRAZIONE MAIRANO,altri siti non meglio specificati,9.35029365,45.28865538,POINT (9.35029365 45.28865538),bassa
VARESE,PORTO VALTRAVAGLIA,VA114.0003,AREA EX TELSA - EX FALEGNAMERIA CARPANETTI,VIALE DELLA REPUBBLICA,aree industriali dismesse,8.68517685,45.96279884,POINT (8.68517685 45.96279884),alta
BRESCIA,NAVE,BS117.0007,FONDERIA BRESCIANI,N.D.,aree industriali dismesse,10.29150915,45.58740267,POINT (10.29150915 45.58740267),bassa
VARESE,MARCHIROLO,VA097.0001,EX CAVA MAROCCHI,S.S.N 233 KM.68,smaltimenti non autorizzati - abbandono rifiuti,8.83454265,45.94182975,POINT (8.83454265 45.94182975),bassa
MILANO,MILANO,MI146.0124,Ex DE MEDICI & CO. S.p.A.,"VIA GIOVANNI BATTISTA GRASSI, 15",aree industriali dismesse,9.12612269,45.51341686,POINT (9.12612269 45.51341686),alta
BERGAMO,ALBINO,BG004.0007,EX CEMENTERIA ITALCEMENTI SPA,"VIA PRADELLA, 2",aree industriali dismesse,9.79820895,45.75590328,POINT (9.79820895 45.75590328),alta
MILANO,MILANO,MI146.1114,Area ex Senesi,"VIA OSLAVIA, 21",aree industriali dismesse,9.24779551,45.48151848,POINT (9.24779551 45.48151848),alta
PAVIA,VELLEZZO BELLINI,PV173.0002,"spargimento olio trasformatore ENEL, località Cascina Pellegrina",LOCALITA' CASCINA PELLEGRINA,rilasci accidentali o dolosi di sostanze,9.1035541,45.26997804,POINT (9.1035541 45.26997804),bassa
MILANO,CUSANO MILANINO,MI098.0030,AREA DI VIA SORMANI 39,"VIA CARLO SORMANI, 39",aree industriali dismesse,9.18608638,45.55030745,POINT (9.18608638 45.55030745),alta
MILANO,ARESE,MI009.0041,AREA INDUSTRIALE DISMESSA,"VIA MONTE ROSA, 3",aree industriali dismesse,9.08213174,45.55298945,POINT (9.08213174 45.55298945),alta
MILANO,CASSINA DE PECCHI,MI060.0017,AREA DI VIA PADANA SUPERIORE 28,VIA VILLA MAGRI,n.d.,9.38322717,45.5235341,POINT (9.38322717 45.5235341),alta
MILANO,RHO,MI182.0018,EX CHIMICA BIANCHI SUD,"VIA MAGENTA, 77",aree industriali dismesse,9.03755483,45.52165925,POINT (9.03755483 45.52165925),alta
MILANO,MILANO,MI146.2329,F.O.M. Industriale S.r.l. Area di Via Ussi 17,"VIA STEFANO USSI, 17",aree industriali in attività,9.20917748,45.50783874,POINT (9.20917748 45.50783874),alta
MILANO,SESTO SAN GIOVANNI,MI209.0045,Edificio Via Buozzi,"VIA BRUNO BUOZZI, 144",rilasci accidentali o dolosi di sostanze,9.22890059,45.52792135,POINT (9.22890059 45.52792135),alta
MILANO,SESTO SAN GIOVANNI,MI209.0008,"H1 PURICELLI GUERRA, COOPERATIVA SESTESE DI ABITAZIONE","VIA FRATELLI CAIROLI, 307",rilasci accidentali o dolosi di sostanze,9.23866704,45.53428364,POINT (9.23866704 45.53428364),bassa
BERGAMO,MOZZANICA,BG142.0001,"AREA EX VIANINI, BITIFIN SRL","STRADA STATALE 11 PADANA SUPERIORE, 591",aree industriali in attività,9.69395505,45.4735466,POINT (9.69395505 45.4735466),bassa
MILANO,MILANO,MI146.3625,AREA VIA MONTEGANI Corte interna,"VIA LUDOVICO MONTEGANI, 14",n.d.,9.17811888,45.43612883,POINT (9.17811888 45.43612883),alta
MILANO,MILANO,MI146.3652,P.I.I. Nuova Magazzini Generali - Sub Area3 Lotto 9,VIA PRINCIPE EUGENIO,aree industriali dismesse,9.1620071,45.48811354,POINT (9.1620071 45.48811354),alta
MILANO,MILANO,MI146.0780,AREA DI VIA PRINETTI,"VIA LUIGI PRINETTI, 4",aree industriali dismesse,9.22575264,45.49797409,POINT (9.22575264 45.49797409),alta
MILANO,MILANO,MI146.4217,AREA DI VIA MONTE GENEROSO 27,"VIA MONTE GENEROSO, 27",aree industriali dismesse,9.15453728,45.49297854,POINT (9.15453728 45.49297854),alta
LODI,CORNEGLIANO LAUDENSE,LO021.0004,Area ex Benzigas,N.D.,altri siti non meglio specificati,9.48079565,45.28623242,POINT (9.48079565 45.28623242),bassa
COMO,LOMAZZO,CO133.0013,AREA SERBATOI INTERRATI - HENKEL ITALIA,"VIALE COMO, 22",aree industriali in attività,9.03610316,45.70170196,POINT (9.03610316 45.70170196),alta
PAVIA,ALBONESE,PV003.0005,GESA IMPIANTI S.R.L.: SVERSAMENTO IN FREGIO ALLA EX SS 211 KM 69 IN COMUNE DI ALBONESE.,STRADA STATALE 211,rilasci accidentali o dolosi di sostanze,8.70614967,45.29395417,POINT (8.70614967 45.29395417),alta
SONDRIO,MADESIMO,SO035.0001,Area Via Carducci,VIA GIOSUE' CARDUCCI,impianti di stoccaggio o adduzione carburanti,9.35800592,46.4357114,POINT (9.35800592 46.4357114),alta
MILANO,ROZZANO,MI189.0014,Condominio Via Ariosto - serbatoio,"VIA LUDOVICO ARIOSTO, 31",altri siti non meglio specificati,9.17445657,45.38072778,POINT (9.17445657 45.38072778),alta
MILANO,MILANO,MI146.1488,P.V. AGIP 2246,VIA TOSCANA/L.GO BEETHOVEN,impianti di stoccaggio o adduzione carburanti,9.19639115,45.4465187,POINT (9.19639115 45.4465187),alta
MONZA E DELLA BRIANZA,MONZA,MB033.0022,AGAM SPA,"VIA ANTONIO CANOVA, 3",n.d.,9.28647355,45.584416,POINT (9.28647355 45.584416),alta
MILANO,PANTIGLIATE,MI167.0004,SVERSAMENTO DI GASOLIO A SEGUITO INCIDENTE 29.6.2009,LOCALITA' CASCINAZZA,n.d.,9.37059432,45.44100799,POINT (9.37059432 45.44100799),alta
LECCO,CALCO,LC012.0004,DEPURATORE CALCO-TOFFO: SVERSAMENTO DI CLORURO FERRICO,N.D.,rilasci accidentali o dolosi di sostanze,9.426362,45.72581503,POINT (9.426362 45.72581503),bassa
MILANO,MILANO,MI146.0220,ISTITUTO SIEROTERAPICO MILANESE - area Brioschi (denominato Lotto 1),"VIA CARLO ROBERTO DARWIN, 20/22",aree industriali dismesse,9.1746841,45.44546044,POINT (9.1746841 45.44546044),alta
BRESCIA,BRESCIA,BS029.0062,"Area Itaca, rimozione rifiuti","VIA ANTONIO STOPPANI, 6",aree industriali dismesse,10.1987458,45.54550559,POINT (10.1987458 45.54550559),alta
MILANO,MILANO,MI146.1660,AREA DISMESSA,"VIA VESPRI SICILIANI, 9",n.d.,9.15080008,45.45322009,POINT (9.15080008 45.45322009),alta
MANTOVA,MANTOVA,MN030.0072,P.V. Tamoil Italia n. 3423,"VIA EX SS.62 VIA PARMA,FRAZ.CAMATTINO 15/C",impianti di stoccaggio o adduzione carburanti,10.79481263,45.14381805,POINT (10.79481263 45.14381805),alta
MILANO,MILANO,MI146.1014,PROGESTIM S.P.A. (EX BOEHRINGER) VIA SERIO 15 ANG. VIA MARELLI,"VIA SERIO, 15",aree industriali in attività,9.20150403,45.44147175,POINT (9.20150403 45.44147175),alta
PAVIA,PAVIA,PV110.0011,Area Nichelcrom Imm.re,VIA CAMPEGGI 17,altri siti non meglio specificati,9.14521143,45.2068965,POINT (9.14521143 45.2068965),alta
VARESE,GAZZADA SCHIANNO,VA073.0001,PV TAMOIL 1958,"VIA ITALO CREMONA, 7",n.d.,8.82789131,45.7793429,POINT (8.82789131 45.7793429),alta
MILANO,BERNATE TICINO,MI019.0012,AREA POZZO TRECATE 18,CASCINA ROSSA,n.d.,8.81374715,45.4749252,POINT (8.81374715 45.4749252),bassa
MILANO,CORSICO,MI093.0002,EX CARTIERE BURGO S.P.A.,"VIA GUGLIELMO OBERDAN, 1",aree industriali dismesse,9.1031453,45.432645,POINT (9.1031453 45.432645),alta
MILANO,SANTO STEFANO TICINO,MI200.0005,AREA CITTERIO,VIA MAGENTA STRADA PROVINCIALE,aree industriali dismesse,8.91758445,45.48715236,POINT (8.91758445 45.48715236),alta
MILANO,MILANO,MI146.0298,CANTIERE EX P.V. CARBURANTI E AUTOLAVAGGIO,"VIA PINTURICCHIO, 26",impianti di stoccaggio o adduzione carburanti,9.22128575,45.47768324,POINT (9.22128575 45.47768324),alta
MONZA E DELLA BRIANZA,MONZA,MI149.0099,AREA VIA ADAMELLO/BRENNERO,VIA ADAMELLO ANG.VIA BRENNERO,aree industriali dismesse,9.26281431,45.58012513,POINT (9.26281431 45.58012513),alta
MONZA E DELLA BRIANZA,CAPONAGO,MI047.0002,GRUPPO BASSO S.P.A.,"VIALE DELL' INDUSTRIA, 17",rilasci accidentali o dolosi di sostanze,9.37988205,45.57034637,POINT (9.37988205 45.57034637),alta
MILANO,MILANO,MI146.3924,EX ANSALDO - LOTTO V2/V3,"VIALE SARCA, 232",aree industriali dismesse,9.21227342,45.52177796,POINT (9.21227342 45.52177796),alta
MILANO,MILANO,MI146.2721,LACERENZA EX AREA INDUSTRIALE,"VIA ALESSANDRO LITTA MODIGNANI, 112",aree industriali dismesse,9.15113438,45.5211092,POINT (9.15113438 45.5211092),alta
BERGAMO,SORISOLE,BG202.0003,ditta Ghidini M. Monte Bianco,N.D.,n.d.,9.6488136,45.75434433,POINT (9.6488136 45.75434433),bassa
MONZA E DELLA BRIANZA,BOVISIO MASCIAGO,MI030.0006,Area di Via Tolmino,"VIA TOLMINO, 51",aree industriali dismesse,9.15747134,45.61197549,POINT (9.15747134 45.61197549),alta
MILANO,CESANO BOSCONE,MI074.0004,AKZO NOBEL COATING SPA,VIA CROCE/VIA DE NICOLA,aree industriali in attività,9.08681285,45.43170459,POINT (9.08681285 45.43170459),alta
MILANO,COLOGNO MONZESE,MI081.0043,Area di Via Imbersago 51,"VIA PER IMBERSAGO, 51",aree industriali dismesse,9.28922189,45.54235056,POINT (9.28922189 45.54235056),alta
MILANO,MILANO,MI146.2284,AREA VIA ESIODO,"VIA ESIODO, 4",aree industriali dismesse,9.22224214,45.51348905,POINT (9.22224214 45.51348905),alta
MILANO,SAN DONATO MILANESE,MI192.0015,AREA DE GASPERI OVEST,VIALE ALCIDE DE GASPERI,aree industriali dismesse,9.25828005,45.42356899,POINT (9.25828005 45.42356899),alta
BRESCIA,ISEO,BS085.0004,Ex P.V. Carburanti,"VIA ROMA, 34",impianti di stoccaggio o adduzione carburanti,10.0507314,45.65643949,POINT (10.0507314 45.65643949),alta
BRESCIA,RONCADELLE,BS165.0002,ATTIVITA' COMMERCIALE DISMESSA,"VIA MARTIRI DELLA LIBERTA', 241",rilasci accidentali o dolosi di sostanze,10.15648957,45.52515121,POINT (10.15648957 45.52515121),alta
MONZA E DELLA BRIANZA,VAREDO,MI231.0001,STABILIMENTO FAREN S.P.A.,"VIA TERNI, 25",rilasci accidentali o dolosi di sostanze,9.17459509,45.5934802,POINT (9.17459509 45.5934802),alta
MILANO,MILANO,MI146.0574,area Lunetta - ex Stecca,VIE DE CASTILLIA/CONFALONIERI,aree industriali dismesse,9.18832003,45.48527131,POINT (9.18832003 45.48527131),alta
MILANO,MILANO,MI146.3426,ATREA DI VIA ITALO SVEVO,"VIA ITALO SVEVO, 5",altri siti non meglio specificati,9.16059589,45.44141885,POINT (9.16059589 45.44141885),alta
VARESE,DAVERIO,VA064.0004,"DITTA GIUDICI, IMMOBILIARE TURCATI","VIALE ROMA, 5",altri siti non meglio specificati,8.7720799,45.77633309,POINT (8.7720799 45.77633309),alta
SONDRIO,PRATA CAMPORTACCIO,SO054.0001,Ditta Tarca Recupero rifiuti,LOCALITA' LOCALITA PIZZO S.N.C.,operazioni di recupero rifiuti,9.38597241,46.29450765,POINT (9.38597241 46.29450765),alta
SONDRIO,TRESIVIO,SO070.0001,ENEL palo 20924 - fuoriuscita olio trasformatore,VIA SANTA CASA,n.d.,9.94263747,46.17644057,POINT (9.94263747 46.17644057),alta
MONZA E DELLA BRIANZA,CARATE BRIANZA,MB015.0001,SERBATOIO INTERRATO VIA MASCHERPA,VIA GIUSEPPE MASCHERPA,n.d.,9.23403247,45.6724212,POINT (9.23403247 45.6724212),alta
