PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
MONZA E DELLA BRIANZA,MONZA,MI149.0062,Area ex P.V. Carburanti FLEN Spa,"VIA ARRIGO BOITO, 31",impianti di stoccaggio o adduzione carburanti,9.25963095,45.5944468,POINT (9.25963095 45.5944468),alta
MILANO,CERNUSCO SUL NAVIGLIO,MI070.0058,AREA Punto Vendita carburanti IP,"VIA MICHELANGELO BUONARROTI, 33",impianti di stoccaggio o adduzione carburanti,9.3221756,45.52237304,POINT (9.3221756 45.52237304),alta
VARESE,CASTELLANZA,VA042.0005,PUNTO VENDITA AGIP N. 2906,VIALE DON GIOVANNI MINZONI,impianti di stoccaggio o adduzione carburanti,8.88738858,45.61203398,POINT (8.88738858 45.61203398),alta
BRESCIA,PREVALLE,BS155.0001,S.S. 41 BIS - SVERSAMENTO,STRADA STATALE 45 BIS,rilasci accidentali o dolosi di sostanze,10.42646236,45.5450976,POINT (10.42646236 45.5450976),alta
MANTOVA,SAN MARTINO DALL ARGINE,MN059.0001,EX METALRECUPERI,"STRADA BASSA DI GAZZUOLO, 2",aree industriali dismesse,10.52472148,45.09963077,POINT (10.52472148 45.09963077),alta
MILANO,MILANO,MI146.4227,AREA IMMOBILIARE COL DI LANA,"VIA GIOVENALE, 7",aree industriali dismesse,9.18432248,45.44944628,POINT (9.18432248 45.44944628),alta
VARESE,SARONNO,VA119.0037,AREA VIA XXIV MAGGIO N. 10 SARONNO,"VIA XXIV MAGGIO, 10",aree industriali dismesse,9.04857005,45.62260215,POINT (9.04857005 45.62260215),alta
MILANO,MILANO,MI146.2921,CONDOMINIO,VIA RUSSO 22,aree industriali dismesse,9.22709863,45.49761332,POINT (9.22709863 45.49761332),alta
MILANO,CASSANO D ADDA,MI059.0014,Area di via Tornaghi via Torino,VIA TORINO ANGOLO VIA TORNAGHI,n.d.,9.51669716,45.52790302,POINT (9.51669716 45.52790302),alta
MILANO,ARCONATE,MI007.0003,ditta Manifattura Castiglioni S.p.A.,"VIA DELL' INDUSTRIA, 52",aree industriali in attività,8.85969988,45.54483484,POINT (8.85969988 45.54483484),alta
MILANO,GARBAGNATE MILANESE,MI105.0017,Capannone industriale - AREA VIA CARDUCCI,"VIA GIOSUE' CARDUCCI, 6",aree industriali dismesse,9.07351051,45.57526117,POINT (9.07351051 45.57526117),alta
MILANO,MILANO,MI146.0096,LDCOM. S.p.A. - AREA EX GIO' STYLE,"VIA CASCIA, 8",aree industriali dismesse,9.24390461,45.51190439,POINT (9.24390461 45.51190439),alta
BERGAMO,MARTINENGO,BG133.0001,ex salumificio Zanetti,VIA MONSIGNORE GIUSEPPE PIANI,aree industriali dismesse,9.77016504,45.57035285,POINT (9.77016504 45.57035285),alta
MILANO,MILANO,MI146.2380,AREA EX AMEDIL VIA BASILEA 46/LUCCA,"VIA BASILEA, 46ANG.VIALUCCA46",aree industriali dismesse,9.11484699,45.45559038,POINT (9.11484699 45.45559038),alta
BRESCIA,COLOGNE,BS059.0001,ATTIVITA' RECUPERO RIFIUTI,VIA PONTE FABBRO,operazioni di recupero rifiuti,9.94291149,45.58029095,POINT (9.94291149 45.58029095),alta
