PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,NOTE,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
MANTOVA,VIADANA,MN066.0001,TAMOIL P.V. N. 1276,"VIA ARGINE CERIANA, 46",(*),impianti di stoccaggio o adduzione carburanti,10.5825609,44.99683464,POINT (10.5825609 44.99683464),alta
VARESE,FAGNANO OLONA,VA067.0020,AREA ARTIGIANALE DISMESSA,VIA VENEGONI ANGOLO VIA TRIESTE,,aree industriali dismesse,8.86754634,45.66853497,POINT (8.86754634 45.66853497),alta
MONZA E DELLA BRIANZA,BOVISIO MASCIAGO,MI030.0004,MINGARDI & FERRARA SRL (area ex RELUB),"VIA DELL'INDUSTRIE,15",,aree industriali dismesse,9.10770278,45.62361372,POINT (9.10770278 45.62361372),alta
BERGAMO,CISERANO,BG075.0002,ex depuratore,,(*),altri siti non meglio specificati,9.59696745,45.58586509,POINT (9.59696745 45.58586509),bassa
MANTOVA,MANTOVA,MN030.0080,Sponda destra Lago Inferiore nel tratto compreso tra Porto Catena e Diga Masetti,LOCALITA' LAGO INFERIORE,,altri siti non meglio specificati,10.81353615,45.15706081,POINT (10.81353615 45.15706081),bassa
BERGAMO,BOLGARE,BG028.0004,MARMI MECCA S.R.L. - AREA S2BIS,"VIA EUROPA, 38",,aree industriali dismesse,9.80787722,45.63377533,POINT (9.80787722 45.63377533),alta
VARESE,VARESE,VA133.0074,AREA SISTEMAZIONE IDRAULICA DEL FIUME OLONA,VIA FRIULI,,altri siti non meglio specificati,8.85395397,45.81181548,POINT (8.85395397 45.81181548),alta
LODI,LODI,LO031.0037,P.V. Q8 1027 VIALE DALMAZIA,"VIALE DALMAZIA, 7",,impianti di stoccaggio o adduzione carburanti,9.49792956,45.31318359,POINT (9.49792956 45.31318359),alta
BRESCIA,VILLA CARCINA,BS199.0003,AREA P.A.5,VIA GUGLIELMO MARCONI,,aree industriali dismesse,10.19874861,45.63209878,POINT (10.19874861 45.63209878),alta
MILANO,PESSANO CON BORNAGO,MI172.0009,SVERSAMENTO OLIO DIATERMICO,CASCINA CASTIONA,,aree agricole oggetto di spandimento incontrollato,9.4014146,45.55476283,POINT (9.4014146 45.55476283),alta
MILANO,BUCCINASCO,MI036.0007,BRUSSA S.r.l.,"VIA DELLA RESISTENZA, 62",,aree industriali in attività,9.11514563,45.41751254,POINT (9.11514563 45.41751254),alta
MILANO,CORMANO,MI086.0020,OROPRESS SPA,"STRADA STATALE 35 DEI GIOVI, 102/104",(*),aree industriali in attività,9.15980123,45.53810457,POINT (9.15980123 45.53810457),alta
COMO,MONGUZZO,CO153.0001,P.V. AGIP 1902,VIA VALASSINA 26,,impianti di stoccaggio o adduzione carburanti,9.23008192,45.77442378,POINT (9.23008192 45.77442378),alta
BERGAMO,MARTINENGO,BG133.0005,AREA PROPRIETÀ PRIVATA,"VIA VALLERE, 23",,altri siti non meglio specificati,9.77609612,45.57272848,POINT (9.77609612 45.57272848),alta
BRESCIA,ERBUSCO,BS069.0005,BERMUGAS SRL,"VIA ISEO, 34",,impianti di stoccaggio o adduzione carburanti,10.00314944,45.58377049,POINT (10.00314944 45.58377049),alta
MILANO,PADERNO DUGNANO,MI166.0014,"AREA PARCHI SERBATOI INTERRATI C/O DITTA CONDEA AUGUSTA spa, SASOL ITALY spa","VIA REALI, 4",,aree industriali dismesse,9.1485828,45.56963214,POINT (9.1485828 45.56963214),alta
MILANO,GAGGIANO,MI103.0002,P.V. TAMOIL 6126,"VIA ALESSANDRO MANZONI, 3/5",(*),impianti di stoccaggio o adduzione carburanti,9.0224152,45.40597352,POINT (9.0224152 45.40597352),alta
COMO,COMO,CO075.0042,Area Bellaria,VIA MUGGIO',,aree industriali dismesse,9.09090209,45.7874331,POINT (9.09090209 45.7874331),alta
BRESCIA,NAVE,BS117.0001,OASI IMMOBILIARE - AFIM S.P.A. EX AREA INDUSTRIALE,"VIA SORELLE MINOLA, 23",,aree industriali dismesse,10.28670122,45.58512179,POINT (10.28670122 45.58512179),alta
MILANO,TURBIGO,MI226.0011,AREA VIA MOLINARA,VIA MOLINARA,,aree agricole oggetto di spandimento incontrollato,8.72842869,45.54115484,POINT (8.72842869 45.54115484),alta
MILANO,MARCALLO CON CASONE,MI134.0004,EX DISCARICA DI RIFIUTI SOLIDI URBANI LUNGO TRATTA CAV TO-MI,STRADA VICINALE DELLA SERRA,(*),discariche autorizzate,8.8645013,45.48245822,POINT (8.8645013 45.48245822),bassa
MONZA E DELLA BRIANZA,SEREGNO,MB039.0005,CENTRALE TELECOM - SERBATOIO INTERRATO,VIA STEFANO DA SEREGNO,(*),aree industriali in attività,9.20502328,45.64738273,POINT (9.20502328 45.64738273),alta
MONZA E DELLA BRIANZA,MONZA,MI149.0094,EX P.V SHELL 49.143,"VIALE LOMBARDIA, 127",(*),impianti di stoccaggio o adduzione carburanti,9.24895969,45.57831304,POINT (9.24895969 45.57831304),alta
BERGAMO,BERGAMO,BG024.0005,AREA EX REGGIANI MACCHINERESIDENZA DEL GUERINO SRL,"VIA DEL GUERINO, 8",(*),aree industriali dismesse,9.6801579,45.71277129,POINT (9.6801579 45.71277129),alta
BERGAMO,BERGAMO,BG024.0016,P.V. ERG BG096,"VIA BROSETA, 75/B",,impianti di stoccaggio o adduzione carburanti,9.65264355,45.69359769,POINT (9.65264355 45.69359769),alta
BERGAMO,TREVIGLIO,BG219.0016,TEAM -CAVA VAILATA,VIA PALAZZO,,discariche abusive o incontrollate,9.58262202,45.50834521,POINT (9.58262202 45.50834521),alta
MILANO,MILANO,MI146.4287,AREA VIA VASARI,"VIA GIORGIO VASARI, 3",,aree industriali dismesse,9.2055117,45.45198687,POINT (9.2055117 45.45198687),alta
MANTOVA,CASTELLUCCHIO,MN016.0002,P.V. TAMOIL 8279,S.S.S.S.10 KM + 110,,impianti di stoccaggio o adduzione carburanti,10.6311958,45.14635479,POINT (10.6311958 45.14635479),bassa
BRESCIA,GARDONE VALTROMPIA,BS075.0002,AREA EX CROMOPLAST,"VIA GIACOMO MATTEOTTI, 345",,aree industriali dismesse,10.18702777,45.67765251,POINT (10.18702777 45.67765251),alta
BERGAMO,PEDRENGO,BG160.0001,CHEMTURA MANUFACTURING ITALY SRL (EX GREAT LAKE),"VIA GIUSEPPE MAZZINI, 11",,aree industriali in attività,9.74951555,45.69274293,POINT (9.74951555 45.69274293),alta
VARESE,LONATE POZZOLO,VA090.0014,STAMPERIA DI LONATE,"VIA PIEMONTE, 17",,aree industriali in attività,8.74038605,45.58717662,POINT (8.74038605 45.58717662),bassa
MILANO,CISLIANO,MI078.0002,FUORIUSCITA DI IDROCARBURI PER DERIVAZIONE ABUSIVA,VIA PER CORBETTA,,rilasci accidentali o dolosi di sostanze,8.98168936,45.44494112,POINT (8.98168936 45.44494112),alta
LECCO,MOLTENO,LC051.0002,DITTA KONIG SPA,"VIALE LOMBARDIA, 8",,aree industriali in attività,9.29288619,45.78240749,POINT (9.29288619 45.78240749),alta
LODI,CODOGNO,LO019.0006,Area HEXION CHEMICALS,"VIALE TEODORO TRIVULZIO, 2",,aree industriali dismesse,9.70033044,45.15517051,POINT (9.70033044 45.15517051),alta
MILANO,MILANO,MI146.0165,ex Schlumberger,"VIA SAVONA, 97",,aree industriali dismesse,9.15157759,45.45014864,POINT (9.15157759 45.45014864),alta
MILANO,MILANO,MI146.3491,ex pv esso 0055 pbl 105041,VIA BISTOLFI ANG.VIA TANZI,,impianti di stoccaggio o adduzione carburanti,9.24550347,45.47200224,POINT (9.24550347 45.47200224),alta
CREMONA,PIANENGO,CR072.0001,PADANIA ACQUE S.P.A. - COLLETTORE FOGNARIO,STRADA VICINALE DEL RO,,altri siti non meglio specificati,9.69992635,45.40226137,POINT (9.69992635 45.40226137),bassa
MILANO,RHO,MI182.0028,GIUSEPPE CAMBIAGHI S.P.A.,"VIA SESIA, 8/12",,aree industriali in attività,9.04585989,45.5133087,POINT (9.04585989 45.5133087),alta
VARESE,SARONNO,VA119.0048,EX BORSANI,"VIA ALESSANDRO VOLTA, 49",,aree industriali dismesse,9.03535215,45.6336214,POINT (9.03535215 45.6336214),alta
MILANO,MILANO,MI146.2290,LOTTO A E B DEL PII ISOLA GIOVANNINA,"VIE FROSINONE,SEGURO E RIETI",,altri siti non meglio specificati,9.08223457,45.46264325,POINT (9.08223457 45.46264325),alta
MONZA E DELLA BRIANZA,LESMO,MI120.0001,ex Soc. Nobel Chemicals,LOCALITA' PEREGALLO,,aree industriali dismesse,9.30565105,45.64235899,POINT (9.30565105 45.64235899),bassa
LODI,SOMAGLIA,LO054.0005,"P.V. SHELL 49.230, Ads Somaglia Est",AUTOSTRADA A1,,impianti di stoccaggio o adduzione carburanti,9.64030424,45.14718371,POINT (9.64030424 45.14718371),bassa
MILANO,COLOGNO MONZESE,MI081.0121,RIGOLDI SRL,"VIA FILIPPO BRUNELLESCHI, 24",,operazioni di recupero rifiuti,9.2705088,45.53599145,POINT (9.2705088 45.53599145),alta
VARESE,FAGNANO OLONA,VA067.0005,EX CAVA PIGNI,VIA PER GORLA,(*),smaltimenti non autorizzati - abbandono rifiuti,8.87201725,45.66945888,POINT (8.87201725 45.66945888),bassa
PAVIA,ROBBIO,PV123.0001,P.V. ERG PV082,"VIA MORTARA, 11",,impianti di stoccaggio o adduzione carburanti,8.60047395,45.28297285,POINT (8.60047395 45.28297285),alta
MILANO,SAN GIULIANO MILANESE,MI195.0047,GALVANO STAMPI SAS,"VIA CREMONA, 43",,aree industriali in attività,9.26747868,45.3986383,POINT (9.26747868 45.3986383),alta
MILANO,BOLLATE,MI027.0016,EX TAMA FOTO S.R.L.,"VIA GIUSTI 2,4,6,8",(*),aree industriali dismesse,9.11534154,45.54731776,POINT (9.11534154 45.54731776),bassa
MILANO,MILANO,MI146.4241,Area industriale dismessa,"VIA PIERO DELLA FRANCESCA, 29",,aree industriali dismesse,9.16469016,45.4834131,POINT (9.16469016 45.4834131),alta
MILANO,MILANO,MI146.4175,"AREE ESTERNE AD AREA DI SERVIZIO AGIP N. 2527 ""MUGGIANO EST"", TERRENI PROPRIETÀ MUGGIANA SRL",LOCALITA' MUGGIANO SNC,,aree agricole oggetto di spandimento incontrollato,9.06872191,45.44892702,POINT (9.06872191 45.44892702),alta
BERGAMO,VERDELLINO,BG232.0003,Cromoplastica Immobiliare spa,"VIALE OSLO, 3",,aree industriali in attività,9.61379162,45.59915584,POINT (9.61379162 45.59915584),alta
MILANO,SOLARO,MI213.0010,AREA DI VIA BERNINI,"VIA GIAN LORENZO BERNINI, 17",,aree industriali dismesse,9.08777838,45.60749142,POINT (9.08777838 45.60749142),alta
LECCO,BOSISIO PARINI,LC009.0007,ME.A.L. SRL - EX THULE - EX KOENIG,VIA PUCCINI CON ACCESSO DA VIALE LOMBARDIA N.8 DEL COMUNE DI MOLTENO,,altri siti non meglio specificati,9.30130193,45.79386877,POINT (9.30130193 45.79386877),alta
PAVIA,ALBAREDO ARNABOLDI,PV002.0002,Ditta Zeta Petroli - OIL TERMICA,STRADA COMUNALE DEI BRONZI-CASCINA BRONZI,,impianti di stoccaggio rifiuti,9.22890649,45.0934383,POINT (9.22890649 45.0934383),alta
MANTOVA,BORGO VIRGILIO,MN005.0005,Deposito Oli minerali Carburanti,VIA MANTOVA 418,,impianti di stoccaggio o adduzione carburanti,10.76083158,45.07065709,POINT (10.76083158 45.07065709),alta
BRESCIA,PONTOGLIO,BS150.0001,TOTALERG NI003005,"VIA PALAZZOLO, 14",,impianti di stoccaggio o adduzione carburanti,9.85777947,45.57766455,POINT (9.85777947 45.57766455),alta
MANTOVA,MANTOVA,MN030.0010,TEA SPA,VICOLO VICOLO STRETTO 12,,aree industriali dismesse,10.79753864,45.15546032,POINT (10.79753864 45.15546032),alta
MILANO,MILANO,MI146.4087,EX AEREA SPA,"VIA CEFALONIA, 18",(*),aree industriali dismesse,9.1269868,45.50457979,POINT (9.1269868 45.50457979),alta
MONZA E DELLA BRIANZA,BRUGHERIO,MI034.0011,ex insediamento Stoppani Coatings,"VIALE LOMBARDIA, 2",,aree industriali dismesse,9.30741962,45.56668153,POINT (9.30741962 45.56668153),alta
MILANO,MILANO,MI146.0410,Ditta Lorenzi S.r.l.,"VIA CARLO BAZZI, 12",,aree industriali dismesse,9.18772565,45.44389615,POINT (9.18772565 45.44389615),alta
MANTOVA,SERMIDE E FELONICA,MN061.0009,SVERSAMENTO ACCIDENTALE GASOLIO SP 34 AL KM 21+100 SERMIDE,S.P.SP 34 AL KM 21,,rilasci accidentali o dolosi di sostanze,11.269949,44.98485432,POINT (11.269949 44.98485432),bassa
MILANO,MILANO,MI146.0115,ZINCHERIA ORIGONI,"VIA GIUSEPPE LA MASA, 1",,aree industriali dismesse,9.15858854,45.50150451,POINT (9.15858854 45.50150451),alta
PAVIA,SAN GIORGIO DI LOMELLINA,PV136.0001,"Tratto S.S. 211, SVERSAMENTO ACCIDENTALE RESINA UREICA PER INCIDENTE",S.P.211 KM 43+600,(*),rilasci accidentali o dolosi di sostanze,8.79109647,45.17425596,POINT (8.79109647 45.17425596),alta
MILANO,LEGNANO,MI118.0053,SITO INDUSTRIALE DISMESSO,VIA RESEGONE/MOSCOVA 2,,aree industriali dismesse,8.91575317,45.60224347,POINT (8.91575317 45.60224347),alta
BERGAMO,CASTELLI CALEPIO,BG062.0001,AREA EX FONDERIA DEL QUINTANO,LOCALITA' QUINTANO,,aree industriali dismesse,9.8989259,45.63532599,POINT (9.8989259 45.63532599),bassa
COMO,COMO,CO075.0014,P.V. AGIP 1919,"VIALE FRATELLI ROSSELLI, 19",,impianti di stoccaggio o adduzione carburanti,9.0726592,45.81253022,POINT (9.0726592 45.81253022),alta
PAVIA,SAN MARTINO SICCOMARIO,PV137.0005,AREA EX PRESCAV,VIA ANTONIO GRAMSCI,,smaltimenti non autorizzati - abbandono rifiuti,9.12013317,45.14554024,POINT (9.12013317 45.14554024),alta
LODI,LODI VECCHIO,LO032.0015,ESSO ITALIA SRL PVF 0685 PBL 105421 ESSO LODI VECCHIO (LO),STRADA PROVINCIALE 115,,impianti di stoccaggio o adduzione carburanti,9.40655474,45.307443,POINT (9.40655474 45.307443),alta
BRESCIA,PISOGNE,BS143.0001,"ex Officine Laminatoi Sebino S.p.A. (EX OLS), CON COSTA VOLPINO",VIA MILANO,,aree industriali dismesse,10.10824723,45.80945211,POINT (10.10824723 45.80945211),alta
BERGAMO,BREMBATE DI SOPRA,BG038.0001,"READY LINE SRL, CON PONTE SAN PIETRO E PRESEZZO","VIA GAETANO DONIZETTI, 114",,aree industriali in attività,9.58508646,45.70905298,POINT (9.58508646 45.70905298),alta
BERGAMO,GAZZANIGA,BG111.0002,RIPORTI INDUSTRIALI SRL,"VIA SALICI, 45",,aree industriali in attività,9.83052959,45.79191232,POINT (9.83052959 45.79191232),alta
PAVIA,MONTICELLI PAVESE,PV099.0001,Ex AGRICHIMICA/COLLA,CASCINA ARSENALE,,aree industriali dismesse,9.51108139,45.11446579,POINT (9.51108139 45.11446579),bassa
MILANO,LACCHIARELLA,MI115.0009,INCIDENTE 9/5/2013 FUORIUSCITA DI GASOLIO,LOCALITA' CAMPO TAMBURINI,,rilasci accidentali o dolosi di sostanze,9.13702429,45.32209352,POINT (9.13702429 45.32209352),alta
SONDRIO,GROSIO,SO033.0001,SVERSAMENTO PISTA CICLABILE,VIA TIRANO,,altri siti non meglio specificati,10.22482215,46.35506082,POINT (10.22482215 46.35506082),bassa
COMO,SORICO,CO216.0002,STOCCAGGIO ABUSIVO RIFIUTI ALL'INTERNO DELL'AREA EX DISCARICA FALCK - CAGIVA,LOCALITA' PIAN DI SPAGNA,(*),aree industriali dismesse,9.37868571,46.17332179,POINT (9.37868571 46.17332179),alta
COMO,LUISAGO,CO135.0001,Stabilimento Lechler SpA,"VIA ALCIDE DE GASPERI, 1",,aree industriali in attività,9.0407476,45.76034031,POINT (9.0407476 45.76034031),alta
BERGAMO,BERGAMO,BG024.0130,EX OSPEDALI RIUNITI BERGAMO _ ORA NUOVA ACCADEMIA DI FINANZA_ AREA UMI2 AMBITO R,"LARGO GIOVANNI BAROZZI, 1",,aree industriali dismesse,9.65367386,45.69921943,POINT (9.65367386 45.69921943),alta
MILANO,MELEGNANO,MI140.0025,AREA EX CHIMICA SARONIO,LOCALITA' MELEGNANO E CERRO AL LAMBRO,,aree industriali in attività,9.3181219,45.35701872,POINT (9.3181219 45.35701872),bassa
MONZA E DELLA BRIANZA,VAREDO,MI231.0004,"DISCARICA EX SNIA FIBRE, E AREA INDUSTRIALE NYLSTAR, CON VAREDO",STRADA STATALE 35 DEI GIOVI,,aree industriali dismesse,9.17323895,45.59120695,POINT (9.17323895 45.59120695),alta
VARESE,BESOZZO,VA013.0004,SMURFIT Munksjo Paper Decor S.r.l. - ex-Cartiera Besozzo,"VIA GUGLIELMO MARCONI, 50",,aree industriali dismesse,8.67518511,45.85119321,POINT (8.67518511 45.85119321),alta
LODI,TAVAZZANO CON VILLAVESCO,LO056.0002,SOCIETA' ELETTROCHIMICA SOLFURI E CLORODERIVATI S.P.A.,"VIA LODIVECCHIO, 10",,aree industriali in attività,9.40561701,45.31939029,POINT (9.40561701 45.31939029),alta
VARESE,ARCISATE,VA004.0005,AREA EX ATAG,"VIA CONTE CAMILLO BENSO DI CAVOUR, 35",,aree industriali in attività,8.86000352,45.85851176,POINT (8.86000352 45.85851176),alta
MILANO,CESANO BOSCONE,MI074.0001,P.V. IP 42635,VIA PASUBIO,,impianti di stoccaggio o adduzione carburanti,9.08801019,45.44760165,POINT (9.08801019 45.44760165),alta
MILANO,MILANO,MI146.0983,P.V. ESSO 0562,VIA VISMARA ANG.LOMBROSO,(*),impianti di stoccaggio o adduzione carburanti,9.22920641,45.45396734,POINT (9.22920641 45.45396734),alta
MILANO,VANZAGHELLO,MI249.0006,OLEODOTTO ENI - PRELIEVO ABUSIVO IN COMUNE DI VANZAGHELLO,VIA SANT'ANTONINO,,rilasci accidentali o dolosi di sostanze,8.78232226,45.57938847,POINT (8.78232226 45.57938847),alta
MILANO,MILANO,MI146.4281,IMMOBILE USO RESIDENZIALE,"VIA PAOLO SEGNERI, 3",,altri siti non meglio specificati,9.13057754,45.44643992,POINT (9.13057754 45.44643992),alta
MANTOVA,MANTOVA,MN030.0087,AGIP P.V. N°12092 - RIMOZIONE SERBATOI,STRADA DOSSO DEL CORSO,,impianti di stoccaggio o adduzione carburanti,10.77108449,45.1538038,POINT (10.77108449 45.1538038),alta
CREMONA,VESCOVATO,CR113.0001,"PIADENA 25, ENI SPA",LOCALITA' AREA POZZO PIADENA 25,,attività minerarie o estrattive,10.15835786,45.16260121,POINT (10.15835786 45.16260121),alta
MILANO,ABBIATEGRASSO,MI002.0047,IMPIANTO DI SOLLEVAMENTO DA POZZO IDROPOTABILE,VIA GIROLAMO SAVONAROLA,,altri siti non meglio specificati,8.9215521,45.40519018,POINT (8.9215521 45.40519018),alta
BRESCIA,CELLATICA,BS048.0004,ESSO PV N. 1357,"VIA CAPORALINO, 11",,impianti di stoccaggio o adduzione carburanti,10.17016864,45.58298644,POINT (10.17016864 45.58298644),alta
LECCO,VERDERIO,LC087.0002,AREA IMPIANTO DI DEPURAZIONE ECOSYSTEM,STRADA CONSORZIALE GRILLI,,altri siti non meglio specificati,9.4284829,45.66301237,POINT (9.4284829 45.66301237),alta
LODI,CASALETTO LODIGIANO,LO008.0001,DITTA PROCHISA S.p.A - LOC. MAIRANO,VIA RIMEMBRANZE-FRAZ.NE MAIRANO 1,,aree industriali in attività,9.35029365,45.28865538,POINT (9.35029365 45.28865538),bassa
BERGAMO,ARCENE,BG011.0001,EX CAVA CASCINA DAZIO,LOCALITA' CASCINA DAZIO,,discariche abusive o incontrollate,9.61105365,45.57273903,POINT (9.61105365 45.57273903),bassa
MANTOVA,CASTIGLIONE DELLE STIVIERE,MN017.0017,PERDITA GASOLIO DA SERBATOIO INTERRATO,"PIAZZALE SAN PIO X, 15",,rilasci accidentali o dolosi di sostanze,10.4854911,45.3878178,POINT (10.4854911 45.3878178),alta
BRESCIA,LUMEZZANE,BS096.0001,Cromatura Rivadossi poi Erregi,"VIA AMEDEO AVOGADRO, 9",,aree industriali dismesse,10.24724937,45.65545916,POINT (10.24724937 45.65545916),alta
VARESE,LUINO,VA092.0017,AREA EX DOGANA,VIA VOLDOMINO,,aree industriali dismesse,8.74484376,45.99980794,POINT (8.74484376 45.99980794),alta
PAVIA,BORGO SAN SIRO,PV018.0005,EFFRAZIONE OLEODOTTO ENI,LOCALITA' TORRAZZA,,rilasci accidentali o dolosi di sostanze,8.93186335,45.24853044,POINT (8.93186335 45.24853044),bassa
BRESCIA,MONTICHIARI,BS113.0033,LOCALITÀ FASCIA D'ORO (IMMOBILIARE ZETA 5),"VIA GABRIELE D' ANNUNZIO, 6/8",,rilasci accidentali o dolosi di sostanze,10.33200352,45.44599932,POINT (10.33200352 45.44599932),alta
MILANO,BOFFALORA SOPRA TICINO,MI026.0009,Sversamento a seguito Sinistro,STRADA STATALE 11,,rilasci accidentali o dolosi di sostanze,8.83162305,45.4565568,POINT (8.83162305 45.4565568),alta
MILANO,MILANO,MI146.3361,P.V. SHELL N. 49.304 P.ZZA DURANTE,PIAZZA FRANCESCO DURANTE,,impianti di stoccaggio o adduzione carburanti,9.2225553,45.4887063,POINT (9.2225553 45.4887063),alta
LODI,SAN ROCCO AL PORTO,LO049.0001,Area agricola - spandimento incontrollato,LOCALITA' ISOLONE,,aree agricole oggetto di spandimento incontrollato,9.6925381,45.08128814,POINT (9.6925381 45.08128814),bassa
MILANO,BUSTO GAROLFO,MI041.0020,Area Pessina & Sala,"VIA GIUSEPPE VERDI, 1",,aree industriali dismesse,8.88040884,45.5468343,POINT (8.88040884 45.5468343),alta
BERGAMO,TREVIOLO,BG220.0003,NUOVO POLO SCOLASTICO - EDIFICIO POLIFUNZIONALE,VIALE PAPA GIOVANNI XXIII,,altri siti non meglio specificati,9.60688687,45.66620931,POINT (9.60688687 45.66620931),alta
PAVIA,CANDIA LOMELLINA,PV027.0003,"EFFRAZIONE OLEODOTTO SANNAZZARO-VOLPIANO10"" A CANDIA LOMELLINA",AREA AGRICOLA,,rilasci accidentali o dolosi di sostanze,8.58526225,45.17568192,POINT (8.58526225 45.17568192),bassa
COMO,VILLA GUARDIA,CO245.0002,Leucadia S.p.a.,"VIA MONTE BIANCO, 14",,aree industriali in attività,9.01443234,45.76721975,POINT (9.01443234 45.76721975),alta
MILANO,MILANO,MI146.0332,"EX SAPONIFICIO, AREA DISMESSA SIRIO S.P.A.","VIA GIUSEPPE CANDIANI, 151",,aree industriali dismesse,9.16901148,45.50445432,POINT (9.16901148 45.50445432),alta
VARESE,FAGNANO OLONA,VA067.0028,AREA EX STABILIMENTO INDUSTRIALE,"VIA SABOTINO, 19/21",,rilasci accidentali o dolosi di sostanze,8.86692612,45.66346004,POINT (8.86692612 45.66346004),alta
MILANO,MILANO,MI146.1796,Area Ex Marangoni,"VIA IMPERIA, 34/36",,aree industriali dismesse,9.16909998,45.44198406,POINT (9.16909998 45.44198406),alta
MONZA E DELLA BRIANZA,MEZZAGO,MB031.0001,API PV N. 41871,"VIA CONCORDIA, 35",,impianti di stoccaggio o adduzione carburanti,9.44239456,45.6274455,POINT (9.44239456 45.6274455),alta
MILANO,RHO,MI182.0017,FOSFANTARTIGLIO-LEI,"VIA LIVENZA, 11/15",,aree industriali in attività,9.05552746,45.52204326,POINT (9.05552746 45.52204326),media
MILANO,GAGGIANO,MI103.0018,DEPURATORE DI GAGGIANO,,,altre operazioni di gestione rifiuti,9.02106535,45.39615871,POINT (9.02106535 45.39615871),bassa
PAVIA,PAVIA,PV110.0067,EX IPIESSE,"VIA PONTE DI PIETRA, 34",,aree industriali dismesse,9.14441473,45.19083453,POINT (9.14441473 45.19083453),alta
MILANO,PADERNO DUGNANO,MI166.0075,AREA VIA GENERALE DALLA CHIESA N. 64/66 CAPANNONE 62,"VIA GENERALE CARLO ALBERTO DALLA CHIESA, 64/6664/66",,aree industriali dismesse,9.17232259,45.56058492,POINT (9.17232259 45.56058492),alta
MILANO,MILANO,MI146.4149,IMMOBILE,"CORSO DI PORTA ROMANA, 10",,altri siti non meglio specificati,9.19026874,45.45943931,POINT (9.19026874 45.45943931),alta
MILANO,SENAGO,MI206.0021,Area di Via Brodolini soc. Enel Distribuzione,VIA GIACOMO BRODOLINI,,altri siti non meglio specificati,9.12557483,45.56335963,POINT (9.12557483 45.56335963),alta
MILANO,TREZZANO ROSA,MI219.0001,CAVA GERA EX CAVA DE LUCCHI,VIA ALCIDE DE GASPERI,,discariche abusive o incontrollate,9.48156375,45.57858714,POINT (9.48156375 45.57858714),alta
BRESCIA,BRESCIA,BS029.0009,EX DEPOSITO ITALIANA PETROLI - PUNTO VENDITA 6977,"VIA SOSTEGNO, 2",,impianti di stoccaggio o adduzione carburanti,10.20911542,45.53265113,POINT (10.20911542 45.53265113),alta
MONZA E DELLA BRIANZA,VIMERCATE,MB050.0005,EX CENTRO EDILE SCAVI S.R.L.,STRADA COMUNALE ALLA CASCINA ROSE',,operazioni di recupero rifiuti,9.38766061,45.61350234,POINT (9.38766061 45.61350234),alta
MANTOVA,BAGNOLO SAN VITO,MN003.0003,P.V. ESSO 12A9,AUTOSTRADA A22 KM 45+600,,impianti di stoccaggio o adduzione carburanti,10.89801695,45.0762976,POINT (10.89801695 45.0762976),bassa
VARESE,CASTELLANZA,VA042.0019,ABC TESSILE EX RAYTOR COMPOUNDS SPA - EX MONTEDISON,"VIA DEL SEMPIONE, 13",,aree industriali in attività,8.88163056,45.61580483,POINT (8.88163056 45.61580483),alta
VARESE,SARONNO,VA119.0045,AREA EX IMPIANTO RIFIUTI,"VIA DON ROBERTO MONTOLI, 22",,operazioni di recupero rifiuti,9.03917896,45.6344393,POINT (9.03917896 45.6344393),alta
MILANO,MAGENTA,MI130.0004,Incidente S.S. 11 km 107+800,S.S.11 KM 117+800,(*),rilasci accidentali o dolosi di sostanze,8.86222705,45.46060929,POINT (8.86222705 45.46060929),bassa
MILANO,CORSICO,MI093.0034,EX CARTIERA BURGO - AREA DI SVILUPPO A PARCHEGGIO,VIA GUGLIELMO OBERDAN,,aree industriali dismesse,9.1049818,45.4304389,POINT (9.1049818 45.4304389),alta
MILANO,NERVIANO,MI154.0004,SVERSAMENTO DI GASOLIO A SEGUITO SINISTRO,VIA MILANO,(*),rilasci accidentali o dolosi di sostanze,8.97861574,45.5568144,POINT (8.97861574 45.5568144),alta
PAVIA,STRADELLA,PV153.0003,AREA DI SERVIZIO AGIP N.12561,"AUTOSTRADA A21-STAZIONE SERVIZIO ""STRADELLA SUD""-DIREZIONE PIACENZA",,impianti di stoccaggio o adduzione carburanti,9.3096862,45.07323109,POINT (9.3096862 45.07323109),bassa
MILANO,TREZZO SULL ADDA,MI221.0005,ECOZINDER,"VIALE LOMBARDIA, 58",,aree industriali in attività,9.51025678,45.59457453,POINT (9.51025678 45.59457453),alta
MILANO,VIMODRONE,MI242.0002,TAMOIL IMPIANTO STOCCAGGIO EX BRENTAG,VIA PADANA SUPERIORE,(*),impianti di stoccaggio o adduzione carburanti,9.26841713,45.51221822,POINT (9.26841713 45.51221822),alta
MILANO,MILANO,MI146.1088,MAGNIFICAE DOMUS S.r.l. - AREA EX OFFICINE MECCANICHE SACERDOTI,"VIA ERNESTO BREDA, 120",,aree industriali dismesse,9.21900258,45.51592829,POINT (9.21900258 45.51592829),alta
MILANO,ASSAGO,MI011.0022,P.V. ENI N. 2542,TANGENZIALE OVEST,,impianti di stoccaggio o adduzione carburanti,9.11573074,45.40527226,POINT (9.11573074 45.40527226),alta
