PROVINCIA,COMUNE,ID_AGISCO,DENOMINAZIONE,INDIRIZZO,NOTE,TIPOLOGIA SITO/ATTIVITA',LONGITUDINE,LATITUDINE,LOCATION,PRECISIONE_LOCATION
MILANO,PAULLO,MI169.0006,P.V. AGIP 51919,VIA MILANO,(*),impianti di stoccaggio o adduzione carburanti,9.40061467,45.4160419,POINT (9.40061467 45.4160419),alta
MANTOVA,CASTIGLIONE DELLE STIVIERE,MN017.0003,Cava del PIRATA,LOCALITA' CASCINA FONTANELLA,(*),smaltimenti non autorizzati - abbandono rifiuti,10.4656673,45.3964913,POINT (10.4656673 45.3964913),alta
BERGAMO,BERGAMO,BG024.0128,EX OSPEDALI RIUNITI - AREA UMI3 BONIFICA,LARGO GIOVANNI BAROZZI,,altri siti non meglio specificati,9.65367386,45.69921943,POINT (9.65367386 45.69921943),alta
VARESE,BUSTO ARSIZIO,VA026.0126,SOCIETÀ ATT S.R.L,VIA MONTI ANGOLO VIA BAZZECCA,,aree industriali dismesse,8.85207199,45.60664654,POINT (8.85207199 45.60664654),alta
MILANO,SESTO SAN GIOVANNI,MI209.0086,EX PV Q8 1126,"VIA PADRE ERNESTO RAVASI, 19",,impianti di stoccaggio o adduzione carburanti,9.24028935,45.53520594,POINT (9.24028935 45.53520594),alta
MANTOVA,ASOLA,MN002.0017,EX FLUCOSIT - ACQUE SOTTERRANEE,S.P.CASTELNUOVO 68,,altri siti non meglio specificati,10.4301371,45.22176028,POINT (10.4301371 45.22176028),bassa
BRESCIA,PONTEVICO,BS149.0009,FAI-FTC SPA,VIA ENRICO MATTEI,,aree industriali dismesse,10.12306344,45.26621576,POINT (10.12306344 45.26621576),alta
MILANO,SESTO SAN GIOVANNI,MI209.0163,LAGHETTO PARCO CARLO MARX,VIA CARLO MARX,,altri siti non meglio specificati,9.24749644,45.5254154,POINT (9.24749644 45.5254154),alta
VARESE,CASTELLANZA,VA042.0025,RESCOL ora CHIMICA POMPONESCO,"VIA DEL SEMPIONE, 13",,aree industriali dismesse,8.88163056,45.61580483,POINT (8.88163056 45.61580483),alta
MILANO,LISCATE,MI122.0009,AIR LIQUIDE ITALIA SERVICE,"VIA DEL LAGO, 8/10",,aree industriali dismesse,9.39637405,45.47900344,POINT (9.39637405 45.47900344),alta
BRESCIA,BRESCIA,BS029.0022,Area Ex-Pietra s.p.a. - FINSIBI S.p.A. (SIN Brescia-Caffaro per Falda),"VIA ORZINUOVI, 8",,aree industriali dismesse,10.19500336,45.52751441,POINT (10.19500336 45.52751441),alta
MILANO,ARESE,MI009.0032,Area industriale Officine Saspe S.r.l.,"VIA SENATO, 10",,aree industriali dismesse,9.08319369,45.5436525,POINT (9.08319369 45.5436525),alta
MILANO,VIMODRONE,MI242.0029,RIQUALIFICA EDILIZIA IMMOBILIARE ROMA,"STRADA STATALE 11 PADANA SUPERIORE, 133",,altri siti non meglio specificati,9.28720479,45.51454179,POINT (9.28720479 45.51454179),bassa
MILANO,LEGNANO,MI118.0040,AREA EX STASER,"VIA PISA, 21",,aree industriali dismesse,8.89989189,45.5871857,POINT (8.89989189 45.5871857),alta
LODI,MALEO,LO035.0001,EX DISCARICA R.S.U.,LOCALITA' CASCINA SESSA,,discariche autorizzate,9.75180968,45.17481891,POINT (9.75180968 45.17481891),alta
MANTOVA,OSTIGLIA,MN038.0015,AREA EXPO DI PIAZZA MAZZINI,PIAZZA GIUSEPPE MAZZINI,,aree industriali dismesse,11.133076,45.06818624,POINT (11.133076 45.06818624),alta
BERGAMO,GAZZANIGA,BG111.0001,AREA EX MASSERINI RIPORTI INDUSTRIALI - AREA VIA CRISPI,VIA FRANCESCO CRISPI,,aree industriali dismesse,9.83027584,45.79495885,POINT (9.83027584 45.79495885),alta
BERGAMO,SERIATE,BG198.0016,EX FRATTINI,"VIA COMONTE, 15",(*),aree industriali in attività,9.73852111,45.68560033,POINT (9.73852111 45.68560033),alta
CREMONA,CREMA,CR035.0002,BOSCH VHIT S.P.A.,"VIA FRANCESCO CAVALLI, 53/A",,aree industriali dismesse,9.68339821,45.36732294,POINT (9.68339821 45.36732294),alta
MILANO,ROZZANO,MI189.0007,P.V. SHELL ITALIA SPA,"VIA EUGENIO CURIEL, 25",,impianti di stoccaggio o adduzione carburanti,9.17311589,45.39688008,POINT (9.17311589 45.39688008),alta
COMO,CUCCIAGO,CO084.0004,EREDI BIANCHI (PARTE EX GUGLIELMETTI),"VIA PER CANTU', 29/A",,aree industriali dismesse,9.11049719,45.74222525,POINT (9.11049719 45.74222525),alta
MONZA E DELLA BRIANZA,VAREDO,MI231.0011,GLOBAL CIRCUIT,"VIA VITTORIO EMANUELE ORLANDO, 40",,aree industriali dismesse,9.16312593,45.59534005,POINT (9.16312593 45.59534005),alta
COMO,GUANZATE,CO114.0003,SINISTRO DEL 12/05/03 S.P. 25 RIBALTAMENTO AUTOCISTERNA,VIA PATRIOTI,,rilasci accidentali o dolosi di sostanze,9.00823909,45.72688506,POINT (9.00823909 45.72688506),alta
MILANO,ASSAGO,MI011.0010,AUTODEMOLITORE,"VIA ALESSANDRO VOLTA, 9",,smaltimenti non autorizzati - abbandono rifiuti,9.12419962,45.41179107,POINT (9.12419962 45.41179107),alta
MILANO,MILANO,MI146.0370,AREA CONDOMINIO - Serbatoio,"CORSO MAGENTA, 65",,rilasci accidentali o dolosi di sostanze,9.17127767,45.46570412,POINT (9.17127767 45.46570412),alta
BERGAMO,BERGAMO,BG024.0119,"GRUPEDIL SPA (AREE EX OTE, EX ZURCHER, EX NORIS&FIGLI)",VIE BIANZANA/SERASSI,,aree industriali dismesse,9.6888541,45.7062481,POINT (9.6888541 45.7062481),alta
MILANO,MILANO,MI146.4327,AREA VIA CIALDINI,"VIA ENRICO CIALDINI, 67",,aree industriali dismesse,9.1708068,45.51112537,POINT (9.1708068 45.51112537),alta
MILANO,CERRO AL LAMBRO,MI071.0001,CASCINA GAZZERA,LOCALITA' CASCINA GAZZERA,,smaltimenti non autorizzati - abbandono rifiuti,9.34704067,45.32178087,POINT (9.34704067 45.32178087),alta
MILANO,SOLARO,MI213.0011,AREA EX CROMOSYSTEM,"VIA DELLA FERROVIA, 3",,aree industriali dismesse,9.05499235,45.62174909,POINT (9.05499235 45.62174909),alta
MILANO,MILANO,MI146.3227,AREA DI VIA PASTORELLI,"VIA GIOVANNI PASTORELLI, 13",,aree industriali dismesse,9.16120013,45.4467846,POINT (9.16120013 45.4467846),alta
PAVIA,STRADELLA,PV153.0006,"P.V. IP 44018, Area di Servizio Stradella Sud",AUTOSTRADA A21 DIREZIONE PIACENZA,,impianti di stoccaggio o adduzione carburanti,9.3096862,45.07323109,POINT (9.3096862 45.07323109),bassa
MILANO,MILANO,MI146.1084,AREA EX FIERA Contractor TRE TORRI,"LARGO DOMODOSSOLA, 1A",,altri siti non meglio specificati,9.15979996,45.48002938,POINT (9.15979996 45.48002938),alta
BRESCIA,LUMEZZANE,BS096.0020,CIMITERO UNICO,VIA MASSIMO D' AZEGLIO,,smaltimenti non autorizzati - abbandono rifiuti,10.26896043,45.6486214,POINT (10.26896043 45.6486214),alta
MILANO,BELLINZAGO LOMBARDO,MI016.0002,Ditta NE.MA. Di Negri e Manzoni S.n.c.,"VIA PADANA SUPERIORE, 122",,aree industriali dismesse,9.45298367,45.54692244,POINT (9.45298367 45.54692244),alta
MILANO,MILANO,MI146.1280,AREA DEGRADATA VIA ZECCA VECCHIA,"VIA ZECCA VECCHIA, 2",,altri siti non meglio specificati,9.18459979,45.46286726,POINT (9.18459979 45.46286726),alta
MILANO,MILANO,MI146.4307,sversamento accidentale di gasolio,"VIA GIUSEPPE BOTTELLI, 11",,rilasci accidentali o dolosi di sostanze,9.20983815,45.50343436,POINT (9.20983815 45.50343436),alta
PAVIA,CARBONARA AL TICINO,PV030.0001,Inquinamento da gasolio del 7/9/2006 Cascina dei Frati,VIA CASCINA DEI FRATI,(*),impianti di stoccaggio o adduzione carburanti,9.08275595,45.16079901,POINT (9.08275595 45.16079901),bassa
MILANO,BUSTO GAROLFO,MI041.0031,EFFRAZIONE OLEODOTTO ENI,VIA PER FURATO,,rilasci accidentali o dolosi di sostanze,8.87703795,45.53620294,POINT (8.87703795 45.53620294),alta
MILANO,PERO,MI170.0027,PETRONAS LUBRIFICANTS ITALY,"VIA SEMPIONE, 191",,impianti di stoccaggio o adduzione carburanti,9.0812011,45.51337189,POINT (9.0812011 45.51337189),alta
MILANO,MILANO,MI146.4213,AREA VIA PIZZI,"VIA GIAN FRANCESCO PIZZI, 5",,aree industriali dismesse,9.20136955,45.43683533,POINT (9.20136955 45.43683533),alta
VARESE,LAVENA PONTE TRESA,VA086.0002,AREA EX SVIT,VIALE UNGHERIA,,altri siti non meglio specificati,8.85853706,45.96548211,POINT (8.85853706 45.96548211),alta
BERGAMO,CALCIO,BG044.0010,CEPAV DUE AV/AC MILANO-VERONA - LOTTO FUNZIONALE TREVIGLIO-BRESCIA,,,altri siti non meglio specificati,9.84531095,45.50224366,POINT (9.84531095 45.50224366),bassa
MONZA E DELLA BRIANZA,ALBIATE,MI006.0002,TERRITORIO COMUNALE (EX ATHENA),"VIALE LOMBARDIA, 26",,aree industriali in attività,9.25063897,45.65991692,POINT (9.25063897 45.65991692),alta
MILANO,BAREGGIO,MI012.0019,ENI S.P.A. AREA HUB NORD - OLEODOTTO SANNAZZARO-RHO,VIA GIOVANNI FALCONE,,rilasci accidentali o dolosi di sostanze,9.00039276,45.48731219,POINT (9.00039276 45.48731219),alta
MILANO,SESTO SAN GIOVANNI,MI209.0063,AREA PARCO DELLE TORRI,VIA CARLO MARX,,smaltimenti non autorizzati - abbandono rifiuti,9.24749644,45.5254154,POINT (9.24749644 45.5254154),alta
MILANO,PIOLTELLO,MI175.0036,TELECOM ITALIA,VIA ERODOTO,(*),,9.32383845,45.51221899,POINT (9.32383845 45.51221899),alta
MILANO,MILANO,MI146.2841,BNP PARIBAS REAL ESTATE - IMMOBILE,"VIA FEDERICO DE ROBERTO, 5",(*),serbatoi carburante per riscaldamento,9.13773052,45.51505678,POINT (9.13773052 45.51505678),alta
BRESCIA,SAN FELICE DEL BENACO,BS171.0001,ESSO ITALIANA SRL,"VIALE ITALIA, 14",,impianti di stoccaggio o adduzione carburanti,10.55008585,45.58709788,POINT (10.55008585 45.58709788),alta
