ANNO_EROG,ATS_ID,ATS_DESC,COORDINATA_GEOGRAFICA_X,COORDINATA_GEOGRAFICA_Y,POSIZIONE_ATS,ASSOC_PENICILINE,I_ASSOC_PENICILINE,CEFALOSPIRINE_3_4_GEN,I_CEFALOSP_3_4_GEN,FLUOROCHINOLONI,I_FLUOROCHINOLONI,DDD PER ATC JO1
2018,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),3812119.26,67.5428,733613.73,12.9981,1098272.15,19.4591,5644005.14
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),888305.22,70.0396,117587.01,9.2713,262397.5,20.6891,1268289.73
2017,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),3178797.53,69.4465,447652.18,9.7798,950886.01,20.7738,4577335.72
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),3299778.71,69.4252,421589.3,8.87,1031628.5,21.7048,4752996.51
2015,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),3751383.71,66.4043,660178.89,11.686,1237747.5,21.9097,5649310.1
2015,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),1292453.43,65.2004,260945.75,13.1639,428880,21.6357,1982279.18
2015,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),8930491.61,68.3148,1219933.45,9.332,2922126,22.3531,13072551.06
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),3718539.61,66.9723,716223.56,12.8995,1117589.42,20.1282,5552352.59
2014,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),2157742.6,70.2578,275416.99,8.9678,638021,20.7745,3071180.59
2018,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),9115149.95,69.8841,1396868.58,10.7095,2531225.34,19.4064,13043243.87
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),3032630.01,66.9738,523187.05,11.5543,972266.5,21.4719,4528083.56
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),9118776.34,69.6343,1275828.57,9.7427,2700629.5,20.623,13095234.41
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),3042791.18,65.9781,535657.28,11.6149,1033373,22.407,4611821.46
2018,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),3697255.65,71.8832,601029.31,11.6854,845136.42,16.4314,5143421.38
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),3198135.29,70.1157,470379.96,10.3126,892712.7,19.5718,4561227.95
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),3041839.06,66.7582,555309.16,12.1872,959355.88,21.0546,4556504.1
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),3795825.66,70.4228,492460.95,9.1365,1101768,20.4408,5390054.61
